"r","n1","n2","coef","texte","xLab","yLab","couleur","txt"
"a","n12","n1","100","Hausse du nombre de fonctionnaires, baisse du temps de travail ...","483.572","512.125","#9BBECA","Hausse du nombre de fonctionnaires"
"b","n12","n2","100","Subventions a la production ...","526.327","512.125","#9BBECA","Subventions a la production"
"c","n12","n3","100","Subventions a l'exportation ...","569.083","512.125","#9BBECA","Subventions a l'exportation"
"d","n12","n4","100","Construction d'infrastructures ...","611.838","512.125","#9BBECA","Construction d'infrastructures"
"e","n12","n5","100","Subventions ....","654.594","512.125","#9BBECA","Subventions aux ménages"
"f","n12","n6","100","Revenus de transfert ...","697.349","512.125","#9BBECA","Revenus de transfert"
"g","n12","n7","100","Hausse des salaires des fonctionnaires ...","740.104","512.125","#9BBECA","Hausse des salaires des fonctionnaires"
"h","n1","n11","100","....","373.731","557.846","#AA9E7F"," "
"i","n2","n9","100","Cr̩dit imp̫t recherche, allegement de cotisations sociales ...","197.615","629.899","#34ABB0"," "
"j","n3","n9","100","....","328.769","687.095","#00458A"," "
"k","n4","n8","130","Investissement public ...","1140.959","550.062","#E27721"," "
"l","n5","n10","120","Cr̩dit d'imp̫t pour les travaux d'isolation, prime d'achat d'une voiture ̩lectrique ...","818.615","643.899","#EA9933"," "
"m","n6","n10","100","Allocation ch̫mage, minimas sociaux ...","979.787","596.98","#D45665"," "
"n","n9","n8","25","Balance commerciale...","143.933","196.271","#00458A"," "
"o","n9","n8","25","Variation des stock ...","234.103","238.313","#009FD6"," "
"p","n9","n8","25","Investissement priv̩ ...","324.272","280.355","#7E83B2"," "
"q","n10","n8","110","Consommation finale des m̩nages ...","904.987","264.192","#BF481D"," "
"r","n13","n10","100","Hausse des revenus des m̩nages ...","904.987","394.504","#B96140"," "
"s","n7","n13","100","....","875.103","483.822","#EFAD7B"," "
"t","n8","n12","40","Pr̩l̬vements obligatoires ...","803.777","362.489","#9BBECA"," "
"u","n8","n9","100","Demande anticipee par les entreprises ...","315.769","362.489","#AFD4E0"," "
"v","n11","n13","100","Le montant des salaires vers̩s augmente ....","617.056","394.504","#6FA44F"," "
"w","n9","n11","25","Demande de main d'oeuvre ...","260.008","465.506","#64997C"," "
