"annee","Albania","Andorra","Austria","Belarus","Belgium","Bosnia_and_Herzegovina","Bulgaria","Croatia","Cyprus","Czech_Republic","Denmark","Estonia","Finland","France","Germany","Greece","Holy_See","Hungary","Iceland","Ireland","Italy","Latvia","Liechtenstein","Lithuania","Luxembourg","Macedonia_FYR","Malta","Moldova","Monaco","Montenegro","Netherlands","Norway","Poland","Portugal","Romania","Russia","San_Marino","Serbia","Slovak_Republic","Slovenia","Spain","Sweden","Switzerland","Ukraine","United_Kingdom"
"1800","410445","2654","3205587","2355081","3138137","851806","1992320","1227886","184392","5516349","1062514","334136","977662","29355111","22886919","2151155","905","3499771","61428","4064749","18822234","590588","5802","778655","127030","391865","134072","712558","7789","126582","2254522","868570","9508747","3033454","5464085","31088398","5492","2147197","2140651","469664","11549294","2354189","1826051","11215490","12327466"
"1801","411734","2654","3213566","2355081","3152306","851806","2001629","1227886","184412","5516349","1066957","334136","986439","29447067","22983824","2158925","905","3529548","61428","4109205","18887712","590588","5802","778655","127030","391865","134072","712558","7789","126582","2258382","873380","9552631","3046116","5506976","31088398","5492","2147197","2140651","469664","11581132","2354278","1833734","11215490","12483870"
"1802","413026","2654","3221565","2355081","3166538","851806","2010981","1227886","184432","5516349","1071419","334136","995294","29539311","23081140","2166723","905","3559579","61428","4154147","18953419","590588","5802","778655","127030","391865","134072","712558","7789","126582","2262250","878216","9596718","3058832","5550205","31088398","5492","2147197","2140651","469664","11613057","2360724","1841448","11215490","12642258"
"1803","414323","2654","3229584","2355081","3180835","851806","2020378","1227886","184451","5516349","1075900","334136","1004229","29631843","23178868","2174549","905","3589865","61428","4199581","19019354","590588","5802","778655","127030","391865","134072","712558","7789","126582","2266123","883080","9641008","3071600","5593772","31088398","5492","2147197","2140651","469664","11645070","2376420","1849196","11215490","12802656"
"1804","415624","2654","3237623","2355081","3195197","851806","2029818","1227886","184471","5516349","1080399","334136","1013244","29724666","23277009","2182403","905","3620408","61428","4245511","19085518","590588","5802","778655","127030","391865","134072","712558","7789","126582","2270004","887970","9685503","3084421","5637681","31088398","5492","2147197","2140651","469664","11677172","2393815","1856975","11215490","12965089"
"1805","416929","2654","3245682","2355081","3209623","851806","2039302","1227886","184491","5516349","1084917","334136","1022340","29817780","23375566","2190286","905","3651212","61428","4291944","19151912","590588","5802","778655","127030","391865","134072","712558","7789","126582","2273890","892887","9730203","3097297","5681936","31088398","5492","2147197","2140651","469664","11709362","2410798","1864788","11215490","13129582"
"1806","418237","2654","3253761","2355081","3224114","851806","2048830","1227886","184511","5516349","1089454","334136","1031517","29911185","23474540","2198197","905","3682278","61428","4338885","19218538","590588","5802","778655","127030","391865","134072","712558","7789","126582","2277784","897832","9775109","3110225","5726537","31088398","5492","2147197","2140651","469664","11741641","2424756","1872634","11215490","13296163"
"1807","419550","2654","3261860","2355081","3238671","851806","2058403","1227886","184530","5516349","1094010","334136","1040777","30004882","23573934","2206136","905","3713608","61428","4386339","19285395","590588","5802","778655","127030","391865","134072","712558","7789","126582","2281684","902804","9820223","3123208","5771489","31088398","5492","2147197","2140651","469664","11774009","2431799","1880512","11215490","13464857"
"1808","420868","2654","3269979","2355081","3253294","851806","2068021","1227886","184550","5516349","1098585","334136","1050120","30098874","23673748","2214105","905","3745204","61428","4434313","19352485","590588","5802","778655","127030","391865","134072","712558","7789","126582","2285591","907803","9865545","3136245","5816793","31088398","5492","2147197","2140651","469664","11806466","2431251","1888424","11215490","13635691"
"1809","422189","2654","3278118","2355081","3267982","851806","2077684","1227886","184570","5516349","1103179","334136","1059547","30193159","23773985","2222102","905","3777070","61428","4482811","19419808","590588","5802","778655","127030","391865","134072","712558","7789","126582","2289505","912830","9911076","3149337","5862453","31088398","5492","2147197","2140651","469664","11839012","2415344","1896369","11215490","13808693"
