"pays","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Belgique","100","100.1111533","100.6372285","100.8416938","101.2389973","101.5940189","102.0635898","102.3911399","102.6946752","102.8211153","103.0966316","103.3200331","103.5378592","103.7946624","104.041288","104.5107474","104.9782605","105.3895937","105.8906809","106.5549652","107.2965146","108.1311226","109.0050828","109.8852368","111.5146039","112.277431","112.9067931","113.3413302","113.9134074","114.6619616","115.0736293"
"Bulgarie","100","100.1092181","100.224994","97.77890098","96.68550427","95.86239255","94.62888484","94.3489528","93.98821966","93.51196715","93.02371437","92.37980376","91.79061931","91.35014457","90.88833477","87.75830422","87.05223978","86.37907572","85.74812451","85.08786409","84.45552995","83.84580228","83.27832093","82.77251384","82.18883881","81.71811803","81.24221125","80.80865117","80.32374419","79.78379878","79.20469635"
"République tchèque","100","100.0618516","100.1538555","100.1738476","99.6180245","99.69479276","99.82190847","99.90230197","99.89406541","99.77982659","99.6618175","99.56502821","99.47314991","99.36175328","98.91636977","98.61818102","98.5356897","98.56177215","98.59568514","98.83468085","99.13104248","99.99326187","100.7894727","101.1404451","101.3786771","101.5595915","101.6628386","101.6270114","101.8769699","102.0274709","102.2689317"
"Danemark","100","100.0870279","100.0972527","100.2071303","100.4229438","100.7284585","101.0892145","101.4019685","101.7741981","102.4631819","102.9333277","103.3184944","103.6837188","104.0045707","104.3790638","104.7525813","105.0482615","105.3240384","105.5926346","105.9058959","106.2888381","106.8489972","107.5448301","107.9992288","108.5044199","108.892494","109.323965","109.8041209","110.4379025","111.3654715","112.1756114"
"Allemagne","100","100.1532058","100.7834846","101.7131489","102.5364881","103.2067564","104.1068142","104.5741059","104.8318959","105.1904647","105.4407375","105.4988717","105.4726851","105.6352764","105.7587844","105.9911941","106.1150956","106.1086556","106.0690287","105.988219","105.829967","105.7051681","105.4281302","105.1708685","103.13926","103.275329","103.5271228","103.8404629","104.393397","105.6509731","106.0957758"
"Estonie","100","100.7652441","101.2518884","101.5711658","101.3868554","100.5544835","97.73647355","95.51498282","93.64749752","92.16764621","90.92623443","90.09056434","89.19572089","90.61930901","90.06767104","89.47205724","88.93400004","88.35584723","87.87728674","87.3502235","86.84708828","86.55736518","86.38275527","86.22431294","85.98955962","85.70222932","85.37609681","85.09445749","85.03308534","85.10254129","85.08255815"
"Irlande","100","99.70628413","99.14773601","98.91988267","99.31497325","100.0628726","100.6798931","101.0687783","101.4767311","102.109914","103.0940441","104.1780539","105.2673948","106.5524617","108.1099766","109.9975376","111.8165563","113.6403985","115.9765016","118.6979922","122.4201984","125.7386264","127.5313566","128.3241328","128.9292501","129.4484217","130.0264325","130.8182778","131.9401974","133.3127049","134.9514267"
"Grèce","100","100.3058188","100.7288395","101.3576522","102.877873","103.8239813","104.4628688","105.0528646","105.5145621","106.0389215","106.4488731","107.0896433","107.6356245","107.9146239","108.519131","109.0427493","109.3181134","109.5644649","109.860329","110.2088805","110.5222604","110.7719167","111.1104935","111.3562942","111.3973845","111.026981","110.1978543","109.4286456","108.7397447","107.9959533","107.8401747"
"Espagne","100","100.2420567","100.4250939","100.5568992","100.6298558","101.0696295","101.6201179","102.1233912","102.5924547","103.0289363","103.4506838","103.8961514","104.3105589","104.7417763","105.2473996","106.2043138","108.2555559","110.1180023","112.0562134","113.9031828","115.9081881","118.1967947","119.6728888","120.3130505","120.7803489","121.1712718","120.9374893","120.3792546","120.2171502","120.192651","120.4202117"
"Macédoine","100","101.1740649","102.3036572","91.239741","92.10498243","92.98512923","100.391972","94.33927615","95.33900679","96.04150704","97.00163618","97.53462451","98.03950699","98.47171367","98.93611788","99.30334499","98.5728363","98.87669128","99.13505083","99.29667167","99.46360194","99.62122854","99.78888947","99.98874792","100.2109644","100.3332273","100.4550031","100.6242715","100.7900327","100.8926166","101.0106905"
"Albanie","100","102.0761664","103.8488193","107.6862031","106.8118036","104.5276372","103.7863013","105.5174066","106.4520959","107.5715213","108.9253235","109.9090967","110.5350626","100.2154052","100.3733711","100.1669439","99.77293005","99.42029992","98.94201132","98.40775799","97.70085943","96.93121353","96.21327275","95.6339331","95.26324878","95.12061739","94.9489879","94.77283667","94.76982217","94.56418134","94.25503199"
"Croatie","100","100.367974","100.6536405","100.8775024","101.0809038","97.14280641","96.29531851","98.18462787","98.47500793","96.83211369","95.81459979","95.89458219","95.69688785","95.06861175","90.79198426","91.00521429","91.00288922","91.01009693","91.11865655","91.15302531","91.17507119","91.14203407","91.09614565","90.94926465","90.67469506","90.3814615","90.08884091","89.76478961","89.31049213","88.57815859","87.80758822"
"Italie","100","100.0263064","100.0966773","100.1764713","100.2643932","100.3152887","100.4006804","100.4380374","100.4415996","100.4412267","100.4980644","100.5475657","100.5559234","100.5813941","100.6470683","100.6944493","100.9471223","101.5927576","102.2621744","102.5969438","102.8788263","103.6370822","104.2514724","104.5864114","104.8948284","104.9469836","105.4612033","107.4003339","107.4232054","107.1933932","107.0589172"
"Chypre","100","101.033967","102.1429038","103.9512569","106.5808295","109.4721613","112.40597","114.8952237","117.1561188","119.1409143","120.9525348","122.5684713","123.9565937","125.3425379","126.6226529","128.0730384","129.5580953","131.223225","133.0700614","135.0570352","137.5807787","140.9239265","144.662799","148.6944715","152.4358853","156.4766341","157.1785917","155.7485369","153.753213","153.9911924","155.1680196"
