"annee","as","eu","af","al","oc","an"
"1800","645843354","201229452","73277428","13289928","1488216","13656438"
"1801","649080266","201915901","73319784","13350481","1487554","13815368"
"1802","652341400","202613360","73362303","13407695","1486895","13976999"
"1803","655626955","203324763","73404997","13465742","1486238","14141382"
"1804","658937133","204042599","73447858","13524637","1485583","14308568"
"1805","662272133","204764805","73490892","13584397","1484932","14478608"
"1806","665632163","205488806","73534097","13645036","1484283","14651559"
"1807","669017432","206210758","73577477","13706572","1483635","14827472"
"1808","672428142","206930033","73621032","13769022","1482991","15006405"
"1809","675864505","207638901","73664761","13832400","1482349","15188414"
"1810","679805012","208555447","73711943","13912387","1481754","15432198"
"1811","683311605","209372467","73774188","13984352","1481269","15629153"
"1812","686858785","210250418","73854899","14064338","1480985","15837156"
"1813","690446675","211189300","73954238","14152705","1481001","16056097"
"1814","694075402","212189015","74072357","14249608","1481458","16285909"
"1815","697745110","213250022","74209418","14355227","1482269","16526528"
"1816","701455911","214369312","74365580","14469707","1483239","16777888"
"1817","705207948","215545152","74541003","14593222","1484419","17039784"
"1818","709001348","216777171","74735852","14726061","1485812","17312475"
"1819","712836238","218064395","74950290","14868392","1487512","17595708"
"1820","716712747","219406575","75184494","15020385","1489711","17889796"
"1821","720506638","220801098","75438619","15182219","1492198","18198769"
"1822","724217056","222244648","75712838","15354058","1495074","18522612"
"1823","727843158","223736327","76007326","15536086","1498636","18861213"
"1824","731384074","225273582","76322243","15728480","1502600","19214513"
"1825","734838944","226868604","76657778","15931426","1506927","19582500"
"1826","738206890","228517196","77014098","16145106","1511864","19965065"
"1827","741487027","230221329","77391383","16369739","1517272","20362148"
"1828","744678468","231981127","77789812","16605514","1523585","20773737"
"1829","747780310","233798468","78209562","16852952","1530812","21199727"
"1830","750791656","235673710","78650813","17112253","1539053","21640825"
"1831","753697248","237605617","79113762","17383640","1549042","22105505"
"1832","756481814","239540482","79580444","17659524","1560101","22586150"
"1833","759144498","241475456","80050902","17939953","1571718","23082455"
"1834","761684452","243413911","80525160","18225003","1583905","23594547"
"1835","764100800","245356634","81003265","18514694","1596618","24122552"
