"origine","australia","austria","belgium","canada","chile","czech republic","denmark","estonia","finland","france","germany","greece","hungary","iceland","israel","italy","japan","korea","latvia","luxembourg","mexico","netherlands","new zealand","norway","poland","portugal","slovak republic","slovenia","spain","sweden","switzerland","turkey","united kingdom","united states","",""
"albania","2129","3967","5032","14143","21","510","337","18","414","7023","105924","218338","362","53","","398687","505","166","2","974","46","1578","82","899","1245","","98","258","3458","2350","823","132","","73923","",""
"andorra","2","5","15","6","17","","0","0","0","220","78","","0","1","","87","13","7","0","8","17","1","","3","0","","0","","2341","1","28","","","","",""
"austria","2288","","2261","1766","762","3611","1628","83","524","0","160886","","6189","302","269","5175","12028","1550","88","955","389","6843","1001","1596","3052","","2916","812","11004","2783","41579","139","6209","7203","",""
"belarus","879","3278","998","6708","150","7877","854","420","622","3785","36639","","366","58","","11106","1333","1311","1032","467","63","2074","183","1115","38228","","395","132","5927","2910","806","107","","37461","",""
"belgium","2516","3976","","6179","1091","684","1510","112","534","12972","37848","","1439","228","2084","5632","3413","1780","60","19234","679","32546","1911","1536","1235","","385","301","36430","2339","16371","252","12360","10589","",""
"bulgaria","1561","41261","40040","16099","248","11561","9617","150","2017","2093","531823","","720","331","855","68359","2562","1392","630","1603","226","46404","630","7272","7240","12545","2593","16185","197802","8433","7553","1076","24481","57724","",""
"croatia","3510","54824","1988","3963","185","1919","1127","21","455","1709","274996","","2441","194","","14237","916","649","1","607","64","1896","318","2626","1240","","1067","17133","3299","5350","2796","30","2681","16571","",""
"cyprus","337","328","532","283","9","113","120","10","81","38","3363","","279","5","","256","63","56","2","128","14","958","21","108","149","","49","22","409","385","588","4","3347","2294","",""
"denmark","2590","2792","4829","1433","508","425","0","111","1044","0","36062","","538","2450","","2380","2942","2068","255","2112","219","6406","1732","26305","2462","","437","88","12604","53190","7381","207","15730","8923","",""
"estonia","751","1066","1171","584","31","164","2397","","47667","98","13115","","152","306","","1500","1215","117","526","826","30","2622","451","7111","256","","61","71","2961","6800","1237","21","4000","4583","",""
"finland","1822","4551","2961","1237","441","389","3677","2766","0","0","34287","","1068","569","","2140","4930","1845","310","1384","159","7966","1316","11717","1401","","232","283","13786","43918","6421","28","8519","6392","",""
"france","15624","14213","184268","74256","8419","3645","8882","422","2929","0","219265","","4501","1044","39519","33358","41317","23545","315","44755","5641","41619","22608","9470","12898","12643","2361","1057","131300","11906","160398","420","180876","64938","",""
"germany","25036","241040","50234","35289","6153","22865","27128","985","4999","13549","","","26341","3216","1422","36789","44185","18817","1572","14574","3988","116398","35124","32061","41360","13384","6443","1857","172777","36285","403155","1642","145482","114239","",""
"greece","3580","10176","13668","3162","160","816","2791","42","999","20","269955","","802","87","119","6665","957","2347","24","2358","130","25631","254","2914","1201","","528","175","6901","10313","12231","522","42092","15732","",""
