"origine","austria","belgium","united states","canada","czech republic","denmark","finland","france","germany","greece","hungary","ireland","italy","luxembourg","netherlands","new zealand","norway","poland","portugal","slovenia","spain","sweden","switzerland","united kingdom","australia","russie"
"albania","3967","5032","73923","14143","510","337","414","7023","105924","218338","362","","398687","974","1578","82","899","1245","","258","3458","2350","823","","2129",""
"andorra","5","15","","6","","0","0","220","78","","0","","87","8","1","","3","0","","","2341","1","28","","2",""
"austria","","2261","7203","1766","3611","1628","524","0","160886","","6189","","5175","955","6843","1001","1596","3052","","812","11004","2783","41579","6209","2288",""
"belarus","3278","998","37461","6708","7877","854","622","3785","36639","","366","","11106","467","2074","183","1115","38228","","132","5927","2910","806","","879","137699"
"belgium","3976","","10589","6179","684","1510","534","12972","37848","","1439","","5632","19234","32546","1911","1536","1235","","301","36430","2339","16371","12360","2516",""
"bosnia and herzegovina","67560","1939","104467","4643","3562","2305","1070","8047","168438","","608","","18143","1476","1122","56","2847","246","","64279","1827","12754","4119","","7008",""
"bulgaria","41261","40040","57724","16099","11561","9617","2017","2093","531823","","720","","68359","1603","46404","630","7272","7240","12545","16185","197802","8433","7553","24481","1561",""
"croatia","54824","1988","16571","3963","1919","1127","455","1709","274996","","2441","","14237","607","1896","318","2626","1240","","17133","3299","5350","2796","2681","3510",""
"cyprus","328","532","2294","283","113","120","81","38","3363","","279","","256","128","958","21","108","149","","22","409","385","588","3347","337",""
"czech republic","22620","4127","6111","3298","","2093","720","946","140330","","704","","7735","1328","8482","5640","2611","3110","","1474","11676","2650","10154","15000","2814",""
"denmark","2792","4829","8923","1433","425","0","1044","0","36062","","538","","2380","2112","6406","1732","26305","2462","","88","12604","53190","7381","15730","2590",""
"estonia","1066","1171","4583","584","164","2397","47667","98","13115","","152","","1500","826","2622","451","7111","256","","71","2961","6800","1237","4000","751",""
"finland","4551","2961","6392","1237","389","3677","0","0","34287","","1068","","2140","1384","7966","1316","11717","1401","","283","13786","43918","6421","8519","1822",""
"france","14213","184268","64938","74256","3645","8882","2929","0","219265","","4501","","33358","44755","41619","22608","9470","12898","12643","1057","131300","11906","160398","180876","15624",""
"germany","241040","50234","114239","35289","22865","27128","4999","13549","","","26341","","36789","14574","116398","35124","32061","41360","13384","1857","172777","36285","403155","145482","25036","43963"
"greece","10176","13668","15732","3162","816","2791","999","20","269955","","802","","6665","2358","25631","254","2914","1201","","175","6901","10313","12231","42092","3580",""
