"destination","australia","austria","belgium","czech republic","germany","iceland","ireland","italy","japan","korea","netherlands","new zealand","norway","slovenia","spain","sweden","switzerland","united kingdom"
"albania","152","1958","2208","214","39839","19","","18782","480","144","672","10","231","182","1463","176","226","1000"
"andorra","0","8","7","","46","0","","16","13","4","2","4","1","","917","0","7",""
"austria","725","","2030","2676","138233","243","","2388","9833","1478","5643","572","939","645","4335","1593","23343","3955"
"belarus","107","1760","359","3623","20177","20","","478","1329","1009","620","22","312","6","1758","309","245",""
"belgium","382","2939","","332","31470","186","","2303","3179","1393","22811","555","780","114","12034","1230","9350","3355"
"bosnia and herzegovina","3445","40730","922","1411","157322","57","","2327","463","35","2262","15","960","31524","948","1404","1444",""
"bulgaria","471","23209","10071","4040","323548","88","","5356","2385","1077","25767","129","1172","1700","90040","1817","2760","7485"
"croatia","4069","37901","654","755","206224","130","","3983","770","628","1781","107","418","8878","1433","627","2522","348"
"cyprus","1322","239","244","60","2002","5","","41","44","37","575","14","42","1","108","141","336","918"
"czech republic","913","17228","3194","","110362","597","","1331","7325","931","5814","2104","1057","300","5074","1186","4197","11612"
"denmark","464","2548","2568","219","33064","2324","","1148","2645","1839","5880","936","20376","76","4435","36592","5515","7711"
"estonia","109","642","491","25","9159","182","","143","768","107","1601","113","2237","8","746","2118","539","1000"
"finland","556","4165","3167","201","33164","510","","935","4028","1810","6981","430","11172","4","3310","39248","4532","6633"
"france","2820","11464","118666","1792","188299","675","","10746","34765","19647","34063","5266","6133","665","67547","7837","81780","74271"
"germany","4097","135176","42787","9703","","2464","","17186","64278","16859","92370","10277","14342","997","73585","16354","178666","71167"
"greece","5896","6822","10132","240","252082","39","","1402","829","1794","16386","121","589","6","3262","3621","4888","13818"
"hungary","1262","61309","4934","264","353437","273","","2352","4815","528","14436","497","1026","358","4605","2843","6349","14798"
"iceland","54","471","180","9","3314","","","134","613","66","1227","95","7933","1","720","5639","494","4000"
"ireland","4773","1815","2760","162","23900","90","","708","3395","3721","7789","6890","695","1","6457","1783","3649","19656"
"italy","3259","21768","38983","854","446557","826","","0","21162","2995","27863","1339","2520","1057","88374","4127","94993","36094"
"latvia","188","1405","1093","92","43275","760","","278","843","236","4195","97","2768","","2106","1595","1472","14000"
"liechtenstein","0","225","12","5","304","0","","14","28","7","27","2","7","","31","12","1454",""
"lithuania","112","2236","1730","133","53394","1847","","543","1297","388","5170","56","8437","3","13045","2550","880","11195"
"luxembourg","0","735","1720","13","15872","6","","135","364","30","429","13","33","","204","55","1470","0"
"malta","975","95","191","9","759","12","","177","47","15","323","24","29","","93","69","167","0"
"moldova","48","2638","290","7096","8762","9","","8583","610","915","491","11","112","30","7988","117","179",""
"monaco","0","5","5","","39","0","","27","20","8","2","1","2","","2","0","13",""
"montenegro","66","541","173","29","5652","3","","142","106","16","75","1","55","180","126","43","129",""
"netherlands","2097","8848","84908","903","103198","346","","3889","8561","3742","","4141","4402","196","24311","5098","14039","19202"
"norway","270","1391","1791","112","12939","806","","420","2576","3869","4958","616","0","2","5862","26887","2707","12584"
"poland","3927","49452","35034","9513","1588470","13208","","15625","7961","2011","77492","393","26589","489","46911","11991","10152","194036"
"portugal","1149","5103","23806","97","127541","1517","","1627","1100","504","19173","148","1006","3","84633","1078","83063","14197"
"romania","1227","79582","24947","1678","753592","229","","87929","25485","3479","16234","319","2594","1201","444035","4165","6077","16000"
"russia","1589","19088","7044","18108","199002","206","","2515","71131","53725","6423","982","4417","754","33623","2969","5169","1358"
"san marino","0","2","4","","55","","","184","23","3","1","1","2","","16","1","4",""
"serbia","1016","46178","2907","690","133058","116","","3589","762","105","787","30","471","15634","2213","838","8856",""
"slovak republic","598","40984","3274","82849","148549","656","","3401","2336","285","7070","227","1873","100","4362","766","4831","5255"
"slovenia","495","10538","549","49","31725","106","","1286","1008","130","1410","124","133","","631","271","1596","1883"
"spain","1263","8127","32619","260","161082","559","","5493","11502","2688","31541","648","3368","22","","4610","50236","70476"
"sweden","1134","6002","4360","245","37575","1356","","1911","8462","2991","8866","1499","52604","117","9285","0","10267","22010"
"switzerland","1902","6520","1575","208","48829","187","","3765","4801","1482","3832","1239","840","107","6612","1180","","5743"
"ukraine","727","8899","1668","84689","85084","126","","13409","9042","5779","2674","167","1266","2417","39680","939","1589",""
"united kingdom","62383","14527","36939","1788","142463","982","35000","8444","88737","21771","65306","64527","11685","607","112391","12878","20235","125000"
"","62383","135176","118666","84689","1588470","13208","35000","87929","88737","53725","92370","64527","52604","31524","444035","39248","178666","194036"
