"destination","afghanistan","albania","algeria","argentina","australia","austria","bangladesh","belgium","bolivia","bosnia and herzegovina","brazil","bulgaria","china including hong kong","colombia","cuba","czech republic","denmark","dominican republic","ecuador","egypt","finland","france","germany (until 1990 former territory of the frg)","ghana","honduras","hungary","india","iraq","ireland","italy","japan","lithuania","malaysia","mali","mexico","moldova","morocco","netherlands","new zealand","nigeria","norway","pakistan","paraguay","peru","philippines","poland","portugal","romania","russia","senegal","slovakia","somalia","south africa","spain","sri lanka","suriname","sweden","switzerland","syria","tunisia","turkey","ukraine","united kingdom","united states","uruguay","venezuela"
"austria","33307","1590","1201","654","1180","43229","1241","1357","126","20424","2585","10062","4391","844","334","5003","694","755","255","3200","981","4548","70970","673","55","45641","4500","12341","746","14348","1686","935","233","85","1173","1540","1103","3534","291","4061","376","4017","91","537","1884","26837","1885","48067","13148","192","23700","4415","715","4203","245","13","1187","3777","29390","1197","9672","6456","5282","4428","82","487"
"belgium","16094","6335","6210","1364","1343","1585","2208","71090","534","530","8160","22575","6493","2938","771","639","1507","1341","2634","2768","1876","70681","16907","4572","179","5583","13067","16398","2270","27469","6504","1430","444","753","2195","1040","44593","37200","367","3193","1089","5571","249","1461","4008","47257","15482","54392","3860","3959","1024","4807","1750","21607","1208","3486","2209","2219","20461","5585","17845","1335","10928","16000","204","1227"
"bulgaria","111","364","120","24","71","123","57","232","4","48","108","40252","844","32","40","198","73","27","11","203","50","446","1243","15","","73","279","592","65","953","82","63","7","6","43","1166","58","249","26","178","49","221","3","12","91","554","86","447","14463","7","93","24","94","572","9","2","73","98","6920","72","7084","3075","2123","1036","6","25"
"croatia","20","74","29","121","542","1200","4","196","24","48881","226","248","1021","61","29","411","69","14","27","64","71","778","5410","5","8","655","165","57","62","2210","90","45","13","2","58","76","36","332","82","79","100","40","4","60","162","522","57","470","1374","10","412","9","141","214","10","4","285","972","234","47","259","800","656","1200","14","70"
"czech republic","387","285","381","269","563","2632","320","539","52","2093","800","7811","2880","263","442","100440","257","73","76","735","269","2522","17755","322","26","1160","2808","565","361","3024","2418","485","508","20","822","9566","238","1561","227","420","171","381","32","223","984","6608","396","6864","24397","33","53614","20","405","1045","152","6","408","414","983","709","2179","66486","3484","8072","32","192"
"denmark","4176","299","259","970","3075","1156","1510","1451","180","1259","3020","8750","9023","1342","260","1888","118892","102","296","910","2338","6813","16958","1329","84","5423","9649","3110","1126","7424","1742","11703","655","0","1205","672","1282","4100","659","1190","10417","6084","64","528","11434","27821","2364","26750","3782","123","3244","3726","1198","5587","1236","15","10980","1461","26695","328","5514","8869","10581","9213","97","473"
"estonia","28","30","16","30","132","124","101","197","2","4","117","199","415","35","13","221","112","3","11","103","3056","584","1172","15","10","138","361","46","212","640","117","442","15","0","87","219","22","189","13","251","264","110","1","15","72","321","137","89","8709","0","123","3","39","450","23","0","478","62","77","15","297","4185","753","738","2","16"
"finland","3959","384","442","285","862","349","1743","466","57","385","1214","1667","7259","464","295","282","659","107","147","815","53884","1933","3564","1090","51","1933","5876","9683","461","2006","1065","916","257","19","672","147","1030","876","204","1970","887","2078","21","279","2858","3729","454","2382","8571","130","255","6354","595","2373","641","2","6834","654","3306","364","3378","1568","3557","3753","73","187"
"france","","","","","","1738","","30094","","","","7055","","","","2523","1333","","","","1491","","30589","","","2942","","","3340","48651","","1098","","","","","","6823","","","","","","","","9016","42735","34251","","","1825","","","48340","","","2813","","","","","","43338","","",""
"hungary","473","377","441","379","558","4232","125","1345","36","431","2051","704","13300","328","225","690","332","41","148","1082","612","3107","19224","162","21","64145","3162","639","676","3540","3636","235","224","14","1187","555","300","2867","169","2067","1298","714","13","161","563","2048","528","58291","3536","41","8286","173","325","1912","83","11","945","1157","1231","406","5277","37241","3604","6911","37","246"
