"Time","Sex","a0-4","a5-9","a10-14","a15-19","a20-24","a25-29","a30-34","a35-39","a40-44","a45-49","a50-54","a55-59","a60-64","a65-69","a70-74","a75-79","a80+","a80-84","a85-89","a90-94","a95-99","a100+"
"1987","Female","5,067036144","4,811354338","4,863152052","6,669025145","8,062171143","7,663486086","6,890223565","6,009192155","6,047821918","7,194960171","6,360038747","5,621161123","6,164565597","4,506767928","4,589183341","4,710166963","4,769693583","none","none","none","none","none"
"1987","Male","5,789164027","5,471712214","5,520726207","7,604193532","9,266166151","8,839519248","7,826165412","6,830591869","6,880145388","8,032848964","7,026127015","5,802636131","4,85193666","2,925772979","2,668066904","2,525731078","2,138496223","none","none","none","none","none"
"1988","Female","5,132440953","4,885755998","4,803565361","6,168677009","8,018758879","7,869496063","7,034125125","6,213164888","5,901867697","6,92017639","6,760115377","5,518634961","6,000941266","5,026842757","4,041530736","4,757325294","4,946581247","none","none","none","none","none"
"1988","Male","5,843534943","5,543182057","5,432664918","7,000341883","9,168509548","9,049809102","7,996891936","7,003209492","6,709449453","7,727041919","7,442954751","5,772789955","5,027275214","3,243927465","2,344228267","2,510541651","2,183647446","none","none","none","none","none"
"1989","Female","5,176183068","4,973697935","4,788178872","5,708787295","7,879527717","8,043912101","7,19138852","6,429422533","5,821452489","6,630471567","7,074662545","5,50543462","5,821028521","5,48189092","3,669859243","4,714082507","5,090019547","none","none","none","none","none"
"1989","Male","5,873231803","5,629883259","5,397323243","6,447951662","8,961340778","9,218389959","8,183741221","7,195625587","6,602705035","7,409929517","7,760506522","5,818012482","5,167767659","3,562078766","2,138562985","2,444065577","2,188883945","none","none","none","none","none"
"1990","Female","5,181291299","5,068763787","4,792479307","5,351182714","7,632322149","8,165491415","7,377376356","6,629472196","5,816467699","6,38750349","7,222970021","5,610687825","5,68029864","5,753279492","3,577172898","4,547836549","none","3,238816231","1,468869997","0,427836052","0,065073474","0,004808409"
"1990","Male","5,859926655","5,723505257","5,386550612","6,016241039","8,635093837","9,322485189","8,395728266","7,385922777","6,568460691","7,143174901","7,902338721","5,982957687","5,273807972","3,832324947","2,101126897","2,313612179","none","1,449455415","0,567653549","0,122352475","0,016015517","0,001265417"
"1991","Female","5,141921152","5,174334583","4,851780707","5,128716041","7,299817767","8,234086096","7,584696591","6,803771434","5,868761518","6,162716881","7,208911357","5,826053401","5,53115221","5,82824169","3,696543764","4,206658367","none","3,305873299","1,575857798","0,48750714","0,077431409","0,005166795"
"1991","Male","5,800142193","5,832286172","5,443220453","5,750634483","8,2249273","9,350486883","8,607522596","7,55749811","6,581406076","6,880205884","7,853118644","6,219234109","5,293318421","4,032665671","2,184299757","2,126224655","none","1,479351481","0,615993621","0,147552698","0,018622954","0,00128784"
"1992","Female","5,056049491","5,264129148","4,93741087","5,011054391","6,866142444","8,262105808","7,809648494","6,963240317","6,009730786","5,969066092","7,040118337","6,175742602","5,390492344","5,763001646","4,058945589","3,749082026","none","3,385623031","1,661852739","0,523657422","0,097380922","0,005525502"
"1992","Male","5,692276868","5,921390191","5,53052763","5,604437737","7,709952262","9,333809827","8,83094934","7,72816694","6,679628167","6,654206149","7,651887969","6,574488838","5,261203035","4,209817492","2,385048226","1,886078153","none","1,510095261","0,64591714","0,165073913","0,023742889","0,001301971"
"1993","Female","4,943050727","5,331825238","5,042329972","4,974911453","6,389564278","8,229495335","8,029620246","7,119544853","6,212025635","5,821826212","6,768386072","6,571690557","5,292890502","5,609868261","4,532108256","3,297824642","none","3,444243898","1,723049826","0,547368093","0,112471709","0,005904235"
"1993","Male","5,556629501","5,983715559","5,64074532","5,549845429","7,154150123","9,253591992","9,042618648","7,904164671","6,839540075","6,477911072","7,353115351","6,962705361","5,229441722","4,361239611","2,646237031","1,662023187","none","1,521535938","0,655761109","0,17605744","0,02765202","0,00131884"
"1994","Female","4,835817955","5,37477588","5,154426971","4,979384454","5,958520148","8,1058202","8,212755744","7,293542875","6,429838422","5,736939423","6,48049866","6,87902954","5,287796237","5,447491379","4,93314102","3,017690822","none","3,421518031","1,776585691","0,554985914","0,113111401","0,006329235"
"1994","Male","5,428034968","6,017290565","5,759021264","5,540903438","6,654163704","9,078704644","9,21068594","8,097007349","7,023368","6,363545696","7,042911904","7,254532951","5,272821372","4,480989714","2,899114479","1,534668366","none","1,484334268","0,653629065","0,17573699","0,027198727","0,001336597"
"1995","Female","4,747356054","5,394603977","5,261555199","4,999880178","5,628912322","7,877397484","8,33891327","7,494471891","6,633855168","5,724690908","6,234207088","7,017650455","5,399683561","5,322369237","5,165069389","2,985514609","none","3,292709963","1,825176161","0,556525028","0,09263431","0,006823749"
"1995","Male","5,320149758","6,02574173","5,870131165","5,551107927","6,270194273","8,794685609","9,316269167","8,309916427","7,207511169","6,318928892","6,776904823","7,376730358","5,428386566","4,567455694","3,111249037","1,534573042","none","1,392946863","0,642852656","0,163049608","0,019849297","0,00136594"
"1996","Female","4,584755649","5,362061955","5,342252639","5,058406587","5,395725625","7,519139741","8,384515552","7,693031324","6,825169508","5,801617393","6,031692234","7,018197611","5,625664476","5,213171194","5,252090786","3,139031052","none","3,064942349","1,930204691","0,642885435","0,108007654","0,007436546"
"1996","Male","5,133374707","5,97967282","5,949995554","5,599712207","5,986022833","8,372291598","9,345321707","8,525689095","7,399863843","6,36124055","6,557888497","7,360670416","5,68061224","4,615376594","3,295702564","1,63056654","none","1,29564319","0,691946469","0,192550429","0,024445907","0,001412239"
"1997","Female","4,53868181","5,275339942","5,4062471","5,131154076","5,268123253","7,064124515","8,376089929","7,892149507","6,988085664","5,957993384","5,853858352","6,861644503","5,974697931","5,101671815","5,217740029","3,482385196","none","2,737832841","2,033243051","0,697971908","0,132839561","0,008125634"
"1997","Male","5,074381141","5,873961225","6,01037785","5,668997759","5,817672125","7,842513401","9,313020348","8,735883388","7,578653666","6,47602293","6,364621999","7,194765591","6,036133757","4,611805548","3,464741767","1,800341721","none","1,156699194","0,735967161","0,20954117","0,032430464","0,001467796"
"1998","Female","4,56143563","5,140676884","5,456788374","5,206671834","5,225355958","6,579378263","8,299829059","8,076460065","7,136790729","6,16846365","5,720383748","6,602756697","6,365722625","5,024422239","5,111300428","3,904900606","none","2,42410324","2,098357189","0,734855527","0,152462447","0,008884808"
