"Time","Sex","a0-4","a5-9","a10-14","a15-19","a20-24","a25-29","a30-34","a35-39","a40-44","a45-49","a50-54","a55-59","a60-64","a65-69","a70-74","a75-79","a80+","a80-84","a85-89","a90-94","a95-99","a100+"
"1987","Female","6,213791024","7,011164331","7,192837335","6,732392904","6,497156735","6,712889285","7,002682576","7,376697041","6,579014504","5,908823344","6,471115097","6,614863171","6,542547376","4,315424093","3,397583363","2,988095725","2,442922097","none","none","none","none","none"
"1987","Male","6,711139614","7,544618255","7,729184069","7,221910051","6,88778773","7,041697843","7,219203146","7,516376212","6,670130001","5,902226136","6,402845679","6,433230689","6,015058964","3,794742604","2,853596811","2,370820285","1,68543191","none","none","none","none","none"
"1988","Female","6,214480561","6,79690424","7,198473532","6,81544093","6,444109889","6,61841671","6,933031673","7,268594423","6,859238837","5,878033005","6,264759673","6,644430012","6,448334839","4,9405366","3,081757862","3,068839692","2,52461752","none","none","none","none","none"
"1988","Male","6,705961907","7,34333197","7,749781353","7,320912487","6,851054463","6,939532162","7,174302652","7,413557039","6,960275846","5,885884376","6,183859693","6,458237937","5,955498005","4,319147462","2,571084483","2,429887028","1,737691137","none","none","none","none","none"
"1989","Female","6,194379022","6,566476236","7,168657295","6,909283192","6,420823775","6,528088247","6,868343401","7,150461832","7,099891759","5,917364196","6,08012483","6,643296592","6,357073087","5,492722037","2,934329025","3,086904637","2,581780839","none","none","none","none","none"
"1989","Male","6,680126536","7,124165591","7,737580366","7,433264326","6,846678191","6,847042586","7,123869519","7,307365578","7,210049125","5,940220869","5,996064525","6,45001059","5,904737829","4,772127365","2,440814151","2,426716589","1,759166262","none","none","none","none","none"
"1990","Female","6,076095598","6,369741958","7,094167773","6,997779867","6,440126094","6,451745275","6,800789034","7,0615404","7,257483054","6,036755416","5,947704766","6,587183441","6,332765755","5,86940353","3,035906837","3,021789867","none","1,769683751","0,669519053","0,153279519","0,023773602","0,00276541"
"1990","Male","6,558726176","6,935716956","7,682836627","7,543441607","6,886582162","6,776562451","7,060630867","7,235000864","7,377058022","6,073689339","5,869760437","6,389772252","5,910059689","5,078187663","2,52281119","2,347867456","none","1,228576392","0,417955566","0,091614244","0,011773073","0,001376968"
"1991","Female","6,026275968","6,221017584","6,963641268","7,027476986","6,491185078","6,382426265","6,700931009","6,971974503","7,318511258","6,226071433","5,854512514","6,472070301","6,32110624","6,040696281","3,316739491","2,859467306","none","1,85626721","0,738108913","0,182387766","0,026527088","0,00260554"
"1991","Male","6,502065892","6,789793559","7,571699","7,591467965","6,965466191","6,734287497","6,974551108","7,15668979","7,43904067","6,26164005","5,765306927","6,255313054","5,907189229","5,220884","2,75034277","2,215259694","none","1,308506171","0,466621736","0,108648192","0,013951837","0,001274669"
"1992","Female","5,803919915","6,128607603","6,805748593","7,054687153","6,576914603","6,338515643","6,607808099","6,908878015","7,294106074","6,505245321","5,808158421","6,323261555","6,368570504","6,071285777","3,805589025","2,61384355","none","1,958121748","0,787750129","0,203674943","0,032820089","0,002493239"
"1992","Male","6,279304272","6,697285141","7,432222329","7,642385286","7,075916151","6,722259873","6,896731241","7,109168893","7,417378192","6,542418351","5,713843506","6,086799506","5,948418384","5,259021975","3,128900103","2,013760726","none","1,394082513","0,499916751","0,120629129","0,018361704","0,001195973"
"1993","Female","5,456137241","6,085074108","6,629393959","7,072264993","6,677530621","6,323467379","6,523823068","6,86279494","7,209530052","6,823429135","5,818421731","6,160622561","6,442595313","6,023288801","4,385543063","2,38526093","none","2,045510443","0,816834733","0,218309611","0,037762776","0,002404543"
"1993","Male","5,93364597","6,651368246","7,271018441","7,691293418","7,198224629","6,741837839","6,831998582","7,081621487","7,338490512","6,865021884","5,724387519","5,906942235","6,005679533","5,243553982","3,562667893","1,828778216","none","1,455282291","0,517016623","0,128220693","0,021809634","0,001140373"
"1994","Female","5,086779691","6,050589606","6,462807894","7,062978835","6,768771948","6,337992149","6,451721904","6,81290761","7,11109527","7,098319767","5,896519809","6,017933382","6,488497765","5,98701296","4,89246243","2,3061867","none","2,071112804","0,836610335","0,220192285","0,037169309","0,002337547"
"1994","Male","5,564139181","6,613248645","7,115715722","7,718546216","7,311266702","6,790551732","6,785086993","7,051727724","7,250191627","7,147228246","5,806946911","5,752443966","6,032951171","5,239793698","3,929917494","1,762293977","none","1,454222341","0,524398253","0,126868604","0,02137748","0,001083318"
"1995","Female","4,780012845","5,963863971","6,33655871","7,014872019","6,839898841","6,378501772","6,394844136","6,747385631","7,03072341","7,276817433","6,046136901","5,919793361","6,474872622","6,01113759","5,239375885","2,437326801","none","2,01883136","0,852631857","0,2067461","0,027400931","0,002267824"
"1995","Male","5,253841404","6,522749784","6,997401968","7,706942379","7,408767194","6,86261245","6,75910073","7,007811649","7,184751841","7,335850672","5,964356961","5,649336133","6,004849887","5,278853892","4,175135198","1,851874876","none","1,384536285","0,522775626","0,112702468","0,014700322","0,001048282"
"1996","Female","4,43653426","5,86010789","6,26477653","6,941080794","6,926566814","6,448974275","6,379425171","6,695216334","6,984363134","7,372606196","6,256728941","5,841747115","6,373194779","6,024552462","5,383978549","2,696815468","none","1,898782572","0,935738705","0,244519262","0,032095956","0,002194797"
"1996","Male","4,90695079","6,41162144","6,921909201","7,651998052","7,534525813","6,95722733","6,77683851","6,978117312","7,154609299","7,429064699","6,169129933","5,557993131","5,877212778","5,292786544","4,287970996","2,044727253","none","1,308571182","0,585560755","0,135205293","0,016968486","0,001011203"
"1997","Female","4,180480663","5,690628385","6,238617291","6,810841696","7,005439893","6,540513516","6,367365401","6,641097978","6,950445786","7,370781702","6,552916949","5,799164375","6,226404314","6,082181671","5,408491947","3,105691057","none","1,707269459","1,012272495","0,266042924","0,041233677","0,002118821"
"1997","Male","4,636237401","6,238124085","6,890760283","7,533923171","7,657300556","7,074442758","6,797871996","6,951962845","7,141603532","7,432808063","6,462018264","5,508654366","5,706895821","5,332251382","4,317261117","2,325348331","none","1,179626403","0,64194133","0,148456723","0,021514383","0,00099719"
"1998","Female","4,011458223","5,450913098","6,244390725","6,650214794","7,065472166","6,646854329","6,360326743","6,592750854","6,922004344","7,300800679","6,886671463","5,804505951","6,060285289","6,153466163","5,375326655","3,563772371","none","1,535228107","1,049713028","0,275774101","0,048006633","0,002064285"
"1998","Male","4,447889565","5,997337516","6,890128338","7,380575347","7,760182038","7,211947992","6,820431381","6,93776802","7,135704356","7,377956676","6,794597177","5,511901234","5,522552178","5,373363425","4,307186315","2,622499074","none","1,060914586","0,66642679","0,154728251","0,024927741","0,000982002"
"1999","Female","3,898733062","5,169082289","6,236961518","6,506986038","7,09075679","6,755911867","6,369070288","6,555740465","6,888044834","7,218268369","7,180426223","5,878356373","5,916440477","6,194618963","5,364729087","3,947874622","none","1,486417234","1,025149542","0,268016273","0,046383244","0,002032443"
"1999","Male","4,321082116","5,715034513","6,876216661","7,241806014","7,821787011","7,359017286","6,855346903","6,938800515","7,125738639","7,318548766","7,090684564","5,586231755","5,366730708","5,381728463","4,309033072","2,856843628","none","1,020228667","0,641370114","0,149189537","0,02358969","0,000991377"
"2000","Female","3,816943582","4,896694311","6,168634864","6,413286658","7,070634395","6,856884188","6,403018649","6,52821032","6,844518675","7,157949061","7,382064836","6,031443524","5,820766403","6,182317414","5,412143519","4,205347511","none","1,59615113","0,936803449","0,242968913","0,031169873","0,002048724"
"2000","Male","4,236433865","5,439487488","6,802765245","7,150357971","7,829559493","7,502440564","6,915755972","6,948750085","7,109923505","7,285823692","7,300858334","5,741488814","5,264818808","5,340966964","4,343369684","3,001309759","none","1,075336131","0,566441703","0,128769404","0,01434192","0,001000599"
"2001","Female","3,754166953","4,643657872","6,016441643","6,344881162","6,983224017","6,953379289","6,468168901","6,487713019","6,794272959","7,103315862","7,494468646","6,272826055","5,753714612","6,097641922","5,437296569","4,325346877","none","1,832820351","0,898808178","0,298447287","0,037293619","0,002114206"
"2001","Male","4,158150658","5,171709913","6,644648227","7,082566299","7,763182522","7,647282829","7,021212207","6,945024403","7,095303098","7,245555906","7,408545512","5,965067517","5,185119795","5,235523347","4,368747934","3,095792896","none","1,235831929","0,548743756","0,163481475","0,017500155","0,001009624"
"2002","Female","3,77069553","4,400462012","5,802627087","6,335348236","6,829890458","7,035080513","6,563827188","6,446218255","6,740921913","7,058394186","7,499025087","6,603889048","5,725996703","5,971273392","5,506114822","4,354825683","none","2,148747677","0,813451469","0,342247696","0,048758033","0,002205013"
"2002","Male","4,183191565","4,90701016","6,423423303","7,068361051","7,624182502","7,772518184","7,161916191","6,935561319","7,085019767","7,219934477","7,419186297","6,276654272","5,143731035","5,088898271","4,413776393","3,127869745","none","1,430691256","0,50109313","0,19209745","0,023839197","0,001044434"
