"Time","Sex","a0-4","a5-9","a10-14","a15-19","a20-24","a25-29","a30-34","a35-39","a40-44","a45-49","a50-54","a55-59","a60-64","a65-69","a70-74","a75-79","a80+","a80-84","a85-89","a90-94","a95-99","a100+"
"1987","Female","6,313963269","6,464222953","6,627197859","6,474044647","6,818822766","7,39007039","7,640992244","7,292179487","5,654157388","5,987809689","6,962928609","6,686454051","6,249164545","4,10326716","3,321199534","3,214383524","2,799141886","none","none","none","none","none"
"1987","Male","7,11186368","7,25532817","7,408122624","7,17443954","7,425827861","8,025636141","8,552844272","8,241093246","6,165978781","6,257759602","7,132216023","6,443751375","4,666588266","2,618856164","2,147801405","1,928438732","1,443454118","none","none","none","none","none"
"1988","Female","6,158981335","6,451354635","6,577911551","6,541131201","6,658218701","7,319899226","7,602356056","7,412358116","6,054736476","5,574600506","6,887476108","6,733405052","6,245303393","4,648792365","3,0287094","3,177822221","2,926943659","none","none","none","none","none"
"1988","Male","6,93089981","7,241819972","7,352967878","7,256388951","7,263867982","7,925092104","8,426100693","8,377984155","6,651841182","5,824565287","7,04995906","6,53554874","4,947832681","2,879426786","1,938538796","1,890076407","1,507089516","none","none","none","none","none"
"1989","Female","5,979028701","6,437136445","6,529984053","6,602248479","6,531648571","7,235780147","7,551713722","7,498164971","6,456867069","5,284234663","6,750674739","6,763463106","6,235283228","5,14356262","2,88964329","3,104406668","3,006159527","none","none","none","none","none"
"1989","Male","6,722032023","7,227025865","7,299476063","7,331666562","7,14124207","7,817976107","8,292807538","8,462390192","7,132439306","5,535557556","6,905509236","6,596376886","5,204504599","3,161573002","1,820144003","1,819237836","1,530041157","none","none","none","none","none"
"1990","Female","5,790518163","6,399364046","6,500113592","6,633010331","6,460203929","7,129727131","7,49850542","7,565238277","6,781228803","5,19349887","6,534861822","6,764443986","6,264313324","5,497373156","2,966929846","2,985706082","none","2,04148898","0,774336868","0,192029691","0,0249537","0,002153984"
"1990","Male","6,505318003","7,184690646","7,267037537","7,373220549","7,078550816","7,69345366","8,172464702","8,507379482","7,518655435","5,472678493","6,682663928","6,630371278","5,428935756","3,438965063","1,822124671","1,713523501","none","1,049177978","0,363241764","0,086233215","0,010406712","0,000906809"
"1991","Female","5,593375019","6,353601974","6,483276475","6,576699205","6,358454574","6,957363187","7,424966175","7,592442016","7,043894411","5,29528678","6,262544377","6,77638978","6,32754474","5,715383229","3,212665366","2,814099778","none","2,085638998","0,869226936","0,224239019","0,030624387","0,002283576"
"1991","Male","6,286678757","7,142854048","7,264533378","7,338502972","6,985554913","7,488912144","8,03811579","8,497273265","7,835663571","5,618699097","6,386951538","6,654576733","5,623595737","3,707449609","1,91280948","1,606921162","none","1,082460713","0,413397726","0,100792779","0,01330326","0,000953328"
"1992","Female","5,394331907","6,279576841","6,492821197","6,516806575","6,311721346","6,740752099","7,35260473","7,582823354","7,234522871","5,592365024","5,894416778","6,786959827","6,415001972","5,821148625","3,641800322","2,582507649","none","2,12071738","0,951665979","0,24456885","0,040508638","0,002378037"
"1992","Male","6,068320924","7,067152597","7,290485989","7,296414808","6,962569969","7,249289414","7,909960416","8,424939404","8,073787644","5,985448236","5,995998047","6,669703733","5,789579228","3,981638098","2,079271801","1,465290251","none","1,106029958","0,454775315","0,110249882","0,018091618","0,001002668"
"1993","Female","5,205954452","6,172460764","6,515742269","6,469621816","6,303637735","6,499721915","7,271465313","7,545297758","7,360444342","6,01246367","5,512075342","6,769797008","6,512356524","5,861550283","4,157653497","2,374109126","none","2,137313428","1,008332649","0,259215936","0,0483088","0,002477374"
"1993","Male","5,86355261","6,952619883","7,330539366","7,262601747","6,991598323","6,997662612","7,775561529","8,308164335","8,23578836","6,488877522","5,600195463","6,652525447","5,929424855","4,253967166","2,293971261","1,333836054","none","1,108710297","0,480001687","0,117506593","0,021840231","0,001054659"
"1994","Female","5,052972564","6,038015067","6,530161777","6,451924349","6,302565771","6,274683284","7,159473679","7,491108816","7,445289982","6,430908445","5,244030027","6,683140916","6,596830052","5,906426372","4,62462265","2,300471672","none","2,111619839","1,040432936","0,264009701","0,048690314","0,002621786"
"1994","Male","5,698508949","6,806430397","7,35932675","7,257457581","7,03376229","6,775741035","7,611981801","8,171663519","8,337971478","6,989413501","5,33994899","6,56388687","6,044340806","4,512178843","2,525441792","1,265137905","none","1,074925949","0,488590609","0,119963474","0,022218743","0,00110872"
"1995","Female","4,955975645","5,891128716","6,516619839","6,466317079","6,290739887","6,096786874","6,999173927","7,42592929","7,504928538","6,764315834","5,168891833","6,505879633","6,653431601","5,991860099","4,969107225","2,413525611","none","2,035940253","1,047967185","0,261079298","0,03759072","0,002810913"
"1995","Male","5,594545568","6,646044475","7,353954629","7,286965345","7,063787142","6,614967896","7,40553996","8,028594036","8,390363036","7,394658679","5,299049388","6,385520642","6,132295776","4,747417711","2,759053964","1,279916245","none","1,003271997","0,478865911","0,116559563","0,017419005","0,001209031"
"1996","Female","4,86275671","5,749751486","6,442841733","6,47012542","6,364459297","6,104608617","6,863645016","7,368245172","7,496203549","6,96203549","5,243628519","6,243311267","6,66720247","6,028087392","5,116304647","2,616738225","none","1,920771557","1,112836023","0,318774984","0,044626806","0,003045621"
"1996","Male","5,4958873","6,485287233","7,265354493","7,284261376","7,142640676","6,660515145","7,28055237","7,915606547","8,337890435","7,62684687","5,39416103","6,091635061","6,156678359","4,90800987","2,974848869","1,35903403","none","0,945208485","0,511707115","0,141937322","0,020580459","0,001356953"
"1997","Female","4,901718246","5,588393864","6,351418905","6,468758157","6,390020149","6,173511954","6,69592968","7,321866987","7,46113004","7,07750618","5,488883695","5,866365477","6,686460645","6,090977802","5,16642468","2,947428944","none","1,735989668","1,165885542","0,361444139","0,056558287","0,003326958"
"1997","Male","5,54675213","6,304324079","7,157055292","7,278266803","7,160848865","6,765403163","7,129174816","7,83016311","8,239046287","7,774722098","5,679298655","5,679618595","6,172188905","5,040972873","3,184590232","1,477756636","none","0,856707608","0,536036429","0,159924238","0,025640897","0,001508288"
"1998","Female","5,018594713","5,411512814","6,253025671","6,465972751","6,372977691","6,278391869","6,527625509","7,278335977","7,415356438","7,131813941","5,833795514","5,455624202","6,685282876","6,172670717","5,170018014","3,326669332","none","1,554861926","1,187439003","0,390037533","0,066296062","0,003697446"
"1998","Male","5,686435556","6,108600314","7,042358213","7,270799948","7,131648091","6,901359616","6,977906988","7,765079902","8,120485009","7,85589334","6,0754975","5,238924292","6,158092945","5,154343602","3,382073418","1,618575249","none","0,769952063","0,53961742","0,170823448","0,029824851","0,001708234"
