"Time","Sex","a0-4","a5-9","a10-14","a15-19","a20-24","a25-29","a30-34","a35-39","a40-44","a45-49","a50-54","a55-59","a60-64","a65-69","a70-74","a75-79","a80+","a80-84","a85-89","a90-94","a95-99","a100+"
"1987","Female","6,746508827","6,210763593","6,818010317","7,320072074","7,479388569","7,412674436","7,32150407","7,66311216","5,870605047","4,856282076","5,431358043","5,431807297","5,827578502","3,704045323","3,408264592","3,776891064","4,721134011","none","none","none","none","none"
"1987","Male","7,329843312","6,738689893","7,399716374","7,914538976","8,004428175","7,851962669","7,749426729","8,224987047","6,541183538","5,376655504","5,67723534","5,41649528","5,371567025","3,229222906","2,536699429","2,452112999","2,185234803","none","none","none","none","none"
"1988","Female","6,624988334","6,276768013","6,583077416","7,293640708","7,416994105","7,444538157","7,308276212","7,549990537","6,467919203","4,71663031","5,297235913","5,447519334","5,600157694","4,416084401","2,904168851","3,829809503","4,822201309","none","none","none","none","none"
"1988","Male","7,20110058","6,815014698","7,146966635","7,887074142","7,948042104","7,890931822","7,708811751","8,051892445","7,111008577","5,271140738","5,568171278","5,445166182","5,199820611","3,83364556","2,172097905","2,508221771","2,240893202","none","none","none","none","none"
"1989","Female","6,479442552","6,382348933","6,374360986","7,228776505","7,358640477","7,460465125","7,305076488","7,42232207","6,983099439","4,706413114","5,153151977","5,443832783","5,376197104","5,021460107","2,599783698","3,793952309","4,910676334","none","none","none","none","none"
"1989","Male","7,045507166","6,934165212","6,925240322","7,819949759","7,891923751","7,918975078","7,687962709","7,86659704","7,589264349","5,2868188","5,454361691","5,457207309","5,038229716","4,336497669","1,97924884","2,491111399","2,276939191","none","none","none","none","none"
"1990","Female","6,371075829","6,45442728","6,239962428","7,107031368","7,309303074","7,450574556","7,301683651","7,338176858","7,317691683","4,871384383","5,006509277","5,388625578","5,239872644","5,376401388","2,601951862","3,632957395","none","2,775580884","1,554165663","0,545942516","0,106927166","0,009754517"
"1990","Male","6,931160558","7,015746641","6,785771747","7,693289819","7,843165718","7,921537809","7,675702578","7,732111177","7,879495043","5,463918447","5,34243813","5,42578356","4,952057875","4,631443798","2,032325627","2,377892205","none","1,474346369","0,643251813","0,156218604","0,020404632","0,00193785"
"1991","Female","6,224959431","6,48834626","6,186907271","6,931508101","7,257603793","7,426079818","7,308293113","7,273418257","7,492082646","5,199252984","4,856653154","5,305692665","5,166838307","5,512347806","2,861673432","3,329207184","none","2,824846215","1,612392528","0,609651194","0,121821813","0,010424027"
"1991","Male","6,779197553","7,054763055","6,734817183","7,500407034","7,784825117","7,897153584","7,669869709","7,629191263","8,006823072","5,79142465","5,228454608","5,364614209","4,912943926","4,747560486","2,282474431","2,181750072","none","1,533400855","0,686824305","0,186819002","0,024688983","0,001996903"
"1992","Female","6,121506308","6,482439832","6,20550619","6,704332947","7,216662916","7,373266036","7,328044786","7,232347811","7,496894688","5,702391182","4,685355181","5,200392621","5,155574247","5,436246453","3,396237134","2,899547675","none","2,904942131","1,652233252","0,649772526","0,145107465","0,011198619"
"1992","Male","6,671599372","7,051521212","6,760263282","7,258489933","7,737282135","7,840374758","7,687068796","7,553604973","7,958927729","6,280910947","5,097745845","5,286506736","4,924583563","4,701434831","2,726353183","1,89812733","none","1,609308456","0,712867051","0,208769651","0,032214672","0,002045545"
"1993","Female","6,057242298","6,432540184","6,273878326","6,463333334","7,170029668","7,300528468","7,350075469","7,213429592","7,388069092","6,280626858","4,551130374","5,07706052","5,176382191","5,233370926","4,050855523","2,473221394","none","2,974549642","1,681098025","0,677211435","0,163303597","0,012063086"
"1993","Male","6,605749353","7,002102012","6,83620756","7,010023274","7,683217489","7,759212863","7,716240991","7,502794249","7,795789103","6,833463547","5,003189517","5,196690078","4,961340677","4,565411803","3,240650572","1,629374877","none","1,669263708","0,725651824","0,223426896","0,0381054","0,002094208"
"1994","Female","6,008658511","6,354764195","6,346470512","6,266976979","7,090331368","7,224954895","7,359287533","7,207017944","7,262526768","6,780089437","4,541934834","4,943001391","5,179286803","5,038182569","4,603305385","2,234180264","none","2,967058417","1,720645004","0,691690477","0,166634708","0,013002006"
"1994","Male","6,557066032","6,923491251","6,914809056","6,815407069","7,595545218","7,673667384","7,736901767","7,468925182","7,618601582","7,298792151","5,025165174","5,102506365","4,983340774","4,442951523","3,66288725","1,506758375","none","1,666830191","0,738844954","0,226778373","0,038566817","0,002163513"
"1995","Female","5,960628006","6,277992133","6,384481643","6,149000666","6,962444897","7,156844566","7,345311504","7,204798011","7,180434079","7,107106588","4,703659866","4,806597144","5,135648282","4,926699614","4,930393262","2,273340764","none","2,852374738","1,77542562","0,703840205","0,148974875","0,014003537"
