"Titre1","Ville","villeOk","Fin_type","Annee","Titre2","Deb_ann","Aire_diff","Liste_entites","changement_nom","date_change","appartenance","trou","payant","source_erreur","","","","",""
"ALLOBROGES (LES)","Grenoble","Grenoble","cesse","1956","None","1944","Départemental","4,5,6,7,13,26,30,38,42,69,73,74,84","none","","MLN, PCF","none","?","http://www.cadeauretro.com/titre/ALVOIR.htm","","","","",""
"ALSACE (L')","Mulhouse","Mulhouse","none","2016","ALSACE (L'))","1944","Départemental","67,68,90","none","","EBRA(Groupe)","none","?","BNF","","","","",""
"ALSACE LIBEREE (L')","Strasbourg","Strasbourg","cesse","1956","none","1944","Départemental","67,68,90","false,false, 'Strassburger Neuste Nachrichten'","1944","Gaulliste","none","?","https://strasbourg2gm.wordpress.com/le-premier-numero-de-lalsace-liberee/","","","","",""
"ARDECHE SOCIALISTE (L')","Aubenas","Aubenas","mensuel","1901","none","","","","","","","","","facebook (en attente de réponse)","","","","",""
"ARDENNAIS (L')","Charleville","Charleville","fusion","1906","none","","","","","","","","","existe un journal en ligne + un quotidien qui existe encore, mais est bazé à Mézières","","","","",""
"ARDENNAIS (L')","Mézières","Mezieres","fusion","1992","none","1944","Départemental","8","true, true, 'L'UNION'","1992","Groupe Rossel (2013)","none","oui","wikipedia","","","","",""
"AURORE (L')","Nice","Nice","cesse","1948","none","","","","","","","","","http://presselocaleancienne.bnf.fr/ark:/12148/cb32706843s   _> trouve un bimentsuel ou j'accuse","","","","",""
"AVENIR DE CANNES (L')","Cannes","Cannes","cesse","1912","none","1875","Départemental","6","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32707847d","","","","",""
"AVENIR DE L'OUEST (L')","Nantes","Nantes","cesse","1947","none","1918","Départemental","14,35,44,49,50,72","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32708262w   ","HEBDOMADAIRE et cherbour","","http://www.chapitre.com/CHAPITRE/fr/PRESS//avenir-de-l-ouest-l-n-590-du-23-01-1947,70633448.aspx","","http://www.archives.nantes.fr/PAGES/EXPO/lareconstruction/publi_journee_patrimoine.pdf"
"AVENIR DE VIENNE (L')","Vienne","Vienne","cesse","1901","none","","","","","","","","","http://data.bnf.fr/32708375/l_avenir_de_la_vienne/","","","","",""
"AVENIR DE LA VIENNE ET DE L'OUEST","Poitiers","Poitiers","cesse","1944","none","1928","Départemental","","false, false,L'avenir de la Vienne","1944","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32708376v","","","","",""
"AVENIR DU NORD EST (L')","Reims","Reims","cesse","1901","none","","","","","","","","","","","","","",""
"AVENIR NORMAND (L')","Rouen","Rouen","cesse","1945","none","","","","","","","","","http://gallica.bnf.fr/ark:/12148/cb43910351c/date","","","","",""
"BERRY REPUBLICAIN (LE)","Bourges","Bourges","none","2016","BERRY REPUBLICAIN","1944","Départemental","18","none","","Groupe Centre-France La Montagne","none","oui","http://www.leberry.fr/","","","","",""
"BIEN PUBLIC (LE)","Dijon","Dijon","none","2016","BIEN PUBLIC (LE)","1868","Départemental","21","none","","EBRA(Groupe)","none","oui","http://www.bienpublic.com/","","","","",""
"BORDEAUX MATIN","Bordeaux","Bordeaux","cesse","1947","none","1917","Départemental","33","false,false,BORDEAUX-MIDI","1945","SFIO","none","?","http://catalogue.bnf.fr/ark:/12148/cb32715103k","","","","",""
"BOURGOGNE REPUBLICAINE (LA)","Dijon","Dijon","fusion","1958","DéPêCHES(LES)","1937","Départemental","21,25,39,70,71,90","true,true,DéPêCHES(LES)","1958","SFIO","none","?","http://www3.bienpublic.com/dossiers/minisites/retro/20eme/1937.html","http://presselocaleancienne.bnf.fr/ark:/12148/cb32715503p","","","",""
"DÉPÊCHES(LES)","Dijon","Dijon","fusion","1992","BIEN PUBLIC (LE)","1958","Départemental","21,25,39,70,71,90","true,true,BIEN PUBLIC(LE)","1958","SFIO","none","?","http://data.bnf.fr/34367783/les_depeches__ed__de_la_cote_d_or_/","","","","",""
"BRIVE INFORMATION","Brive_la_Gaillarde","Brive_la_Gaillarde","none","2016","CENTRE PRESSE AVEYRON","19","Départemental","12","true,true,CENTRE PRESSE AVEYRON","1958","Groupe Sud Ouest","none","oui","http://www.centrepresseaveyron.fr/arches/page3col.php?sk=contactez-nous.sk","a contacter : bizarre on trouve que ca vient de brive","","","",""
"CANTAL LIBRE (LE)","Aurillac","Aurillac","cesse","1945","none","","","","","","","","","","","","","",""
"LIBERTE DU CANTAL(LA)","Aurillac","Aurillac","cesse","1944","L'UNION RéPUBLICAINE","1905","Départemental","15","false,true,L'UNION RéPUBLICAINE]","","","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32884615b","http://presselocaleancienne.bnf.fr/ark:/12148/cb32806821n","","","",""
"CENTRE REPUBLICAIN (LE)","Montlu_on","Montlucon","fusion","1968","none","1875","Départemental","3,23","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb327385839","","","","",""
"CENTRE ECLAIR","Châteauroux","Chateauroux","cesse","1944","LE DéPARTEMENT (CHATEAUROUX)","1927","Départemental","36","true,true,LE DéPARTEMENT (CHÂTEAUROUX)","1937","none","none","?","http://data.bnf.fr/32738708/centre-eclair__chateauroux__1927_/","","","","",""
"CENTRE ECLAIR SOIR","Tours","Tours","cesse","1947","none","1947","Départemental","28","none","","MNL","none","?","http://matfanus.blogspot.fr/2012/05/la-presse-tours-avant-la-nr.html","","","","",""
"CENTRE PRESSE AVEYRON","Rodez","Rodez","none","2016","CENTRE PRESSE AVEYRON","1944","Départemental","12","none","","Les journaux du midi","none","oui","http://www.centrepresseaveyron.fr/arches/page3col.php?sk=qui-sommes-nous.sk","","","","",""
"CENTRE PRESSE","Poitiers","Poitiers","none","2016","CENTRE PRESSE VIENNE","1958","Départemental","86,87","none","","groupe Nouvelle république","none","oui","http://www.centre-presse.fr/","","","","",""
"CHALON MATIN","Chalon","Chalon","cesse","1947","none","none","","","","","","","","","","","","",""
"CHAMPENOIS (LE)","Chaumont","Chaumont","cesse","1921","none","none","","","","","","","","","","","","",""
"CHARENTE LIBRE (LA)","Angoulème","Angouleme","none","2016","CHARENTE LIBRE","1944","Départemental","16,17,24,33,75,86,87","none","","Groupe Sud Ouest","none","oui","http://www.charentelibre.fr/charente/angouleme/","","","","",""
"ECLAIR COMTOIS (L')","Besançon","Besancon","fusion","1939","none","1903","Départemental","25","none","","La république de l'Est","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32763706t","","","","",""
"CONCORDE REPUBLICAIN (LA)","Reims","Reims","cesse","1901","none","","","","","","","","","","","","","",""
