"Annee","NAT_Nb_titres","NAT_Tirages","LOC_Nb_titres","LOC_Tirages","TOT_Nb_titres","TOT_Tirages","GRA_Nb_titres","GRA_Tirages","ENS_Nb_titres","ENS_Tirages"
"1945","26","46.06","153","75.32","179","12138","0","0","179","12138"
"1946","28","59.59","175","91.65","203","15124","0","0","203","15124"
"1947","19","47.02","161","81.65","180","12867","0","0","180","12867"
"1948","18","44.5","142","78.59","160","12309","0","0","160","12309"
"1949","16","37.92","139","74.17","155","11209","0","0","155","11209"
"1950","16","36.78","126","72.56","142","10934","0","0","142","10934"
"1951","15","36.07","122","66.34","137","10241","0","0","137","10241"
"1952","14","34.12","117","61.88","131","9600","0","0","131","9600"
"1953","12","35.14","116","64.58","128","9972","0","0","128","9972"
"1954","12","36.18","116","65.59","128","10177","0","0","128","10177"
"1955","13","37.79","116","68.23","129","10602","0","0","129","10602"
"1956","14","44.41","111","69.53","125","11399","0","0","125","11399"
"1957","13","42.26","110","72.54","123","11480","0","0","123","11480"
"1958","13","43.73","110","72.94","123","11667","0","0","123","11667"
"1959","13","39.8","103","69.3","116","10910","0","0","116","10910"
"1960","13","41.85","98","71.7","111","11355","0","0","111","11355"
"1961","13","42.39","96","70.87","109","11326","0","0","109","11326"
"1962","13","42.07","96","71.98","109","11405","0","0","109","11405"
"1963","14","41.21","94","74.34","108","11555","0","0","108","11555"
"1964","14","41.07","93","76.17","107","11724","0","0","107","11724"
"1965","13","42.11","92","78.57","105","12068","0","0","105","12068"
"1966","14","43.91","91","78.31","105","12222","0","0","105","12222"
"1967","12","46.24","86","80.05","98","12629","0","0","98","12629"
"1968","13","50.34","85","80.39","98","13073","0","0","98","13073"
"1969","13","45.96","81","75.72","94","12168","0","0","94","12168"
"1970","13","42.78","81","75.87","94","11865","0","0","94","11865"
"1971","12","42.44","81","77.5","93","11994","0","0","93","11994"
"1972","11","38.77","78","77.93","89","11675","0","0","89","11675"
"1973","12","37.07","75","75.06","87","11213","0","0","87","11213"
"1974","13","38.31","73","75.09","86","11340","0","0","86","11340"
"1975","12","31.95","71","74.11","83","10606","0","0","83","10606"
"1976","13","29.7","71","71.97","84","10167","0","0","84","10167"
"1977","15","31.85","72","73.91","87","10576","0","0","87","10576"
"1978","15","31.73","72","73.7","87","10543","0","0","87","10543"
"1979","13","30.41","72","74.68","85","10509","0","0","85","10509"
"1980","12","29.13","73","75.35","85","10448","0","0","85","10448"
"1981","12","31.93","73","76.29","85","10822","0","0","85","10822"
"1982","13","27.79","74","73.32","87","10111","0","0","87","10111"
"1983","13","28.77","74","72.41","87","10118","0","0","87","10118"
"1984","13","27.07","70","72","83","9907","0","0","83","9907"
"1985","12","27.77","70","71.09","82","9886","0","0","82","9886"
"1986","12","28.85","67","71.09","79","9994","0","0","79","9994"
"1987","12","27.13","67","70.3","79","9743","0","0","79","9743"
"1988","11","29.42","65","71.55","76","10097","0","0","76","10097"
"1989","11","28.28","64","70.93","75","9921","0","0","75","9921"
"1990","11","27.41","62","70.1","73","9751","0","0","73","9751"
"1991","11","26.8","62","69.08","73","9588","0","0","73","9588"
"1992","11","26.24","62","68.96","73","9520","0","0","73","9520"
"1993","12","26.38","58","67.24","70","9362","0","0","70","9362"
"1994","12","27.89","58","66.81","70","9470","0","0","70","9470"
"1995","12","28.44","58","68.81","70","9725","0","0","70","9725"
"1996","10","21.51","57","69.29","67","9080","0","0","67","9080"
"1997","10","23.4","55","69.63","65","9303","0","0","65","9303"
"1998","10","22.19","55","68.23","65","9042","0","0","65","9042"
"1999","10","22.93","56","67.75","66","9068","0","0","66","9068"
"2000","10","21.86","56","67.19","66","8905","0","0","66","8905"
"2001","10","22.54","56","67.17","66","8971","0","0","66","8971"
"2002","10","21.94","56","67.55","66","8949","3","140","69","9089"
"2003","10","20.58","57","65.39","67","8597","3","915","70","9512"
"2004","10","20.12","57","64.22","67","8434","6","1342","73","9776"
"2005","10","19.95","58","62.77","68","8272","6","1517","74","9789"
"2006","10","19.01","58","61.59","68","8060","7","1655","75","9715"
"2007","10","19.95","57","62.47","67","8242","10","2740","77","10982"
"2008","10","18.31","56","60.45","66","7876","10","2720","76","10596"
"2009","10","17.68","57","58.94","67","7662","12","2612","79","10274"
"2010","10","18.3","57","57.14","67","7545","13","2652","80","10197"
"2011","10","17.32","56","55.71","66","7303","15","2879","81","10182"
"2012","8","15.97","56","55.37","64","7134","14","2659","78","9793"
"2013","9","14.68","56","52.05","65","6673","12","2648","77","9321"
"2014","9","13.57","55","49.8","64","6337","12","2517","76","8854"
