"titreok_1","TITRE1","Ville","villeOk","Fin_type","Annee","titreok_2","Titre2","Deb_ann","Aire_diff","Liste_entites","changement_nom(fusion_nouveau_nom)","date_change","appartenance_affiliation_edition","date_groupe","trou","nonenonenonenonenonenone","source_erreur"
"Le Petit journal","PETIT JOURNAL","Montauban","Montauban","none","2016","Le Petit journal","PETIT JOURNAL","2002","Départemental","9,11,12,31,32,34,46,47,65,66","none","none","Alain Paga","","none","nonenonenone","http://www.lepetitjournal.net/Lot-et-Garonne/1-Accueil.htm"
"L'écho du centre","ECHO DU CENTRE (L')","Limoges","Limoges","none","2016","L'écho de la Haute Vienne","ECHO DE LA HAUTE VIENNE (L')","1943","Départemental","19,23,24,36,87","none","none","antilibéral - PCF - indépendant","","none","none","http://www.l-echo.info/"
"Agence quotidienne d'informations économiques et financières","AGENCE QUOTIDIENNE D'INFORMATIONS ECONOMIQUES ET FINANCIERES","Paris","National","hebdomadaire + web","2016","L'agefi hebdo (web)","L'AGEFI HEBDO (web)","1911","National","none","false, true,L'AGEFI HEBDO","2005","Artemis","","none","",""
"La Provence","PROVENCE (LA)","Marseille","Marseille","none","2016","La Provence","PROVENCE (LA)","1997","Départemental","4,5,13,84","true,false,PROVENCAL (LE)","1997","Bernard Tapie","2012","none","nonenonenone","http://www.laprovence.com/"
"Corse matin","CORSE MATIN","Ajaccio","Ajaccio","none","2016","Corse matin","CORSE MATIN","1944","Départemental","2A,2B,4,5,6,13,83,84","none","none","Bernard Tapie","2012","none","none","http://www.corsematin.com/"
"Nice matin","NICE MATIN","Nice","Nice","none","2016","Nice matin","NICE MATIN","1944","Départemental","6","none","none","Bernard Tapie","2012","none","nonenonenone","http://www.nicematin.com/"
"Var-Matin","Var-Matin","Nice","Nice","none","2016","none","none","1946","Départemental","83","none","none","Bernard Tapie","2012","","",""
"L'Opinion","OPINION (L')","Paris","National","none","2016","L'Opinion","OPINION (L')","2013","National ","none","none","none","Bey medias SAS","","none","",""
"Le Lorrain","LORRAIN (LE)","Metz","Metz","cesse","1969","none","none","1883","Départemental","57","none","none","Catholique","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32809323p"
"Le nouvel Alsacien","NOUVEL ALSACIEN (LE)","Strasbourg","Strasbourg","cesse","1986","none","none","1986","Départemental","67,68,90","none","none","Catholique","","none","none","https://fr.wikipedia.org/wiki/Le_Nouvel_Alsacien"
"Présent (1982)","PRESENT (1982)","Paris","National","none","2016","Présent (1982)","PRESENT (1982)","1982","National","none","none","none","Catholique traditionnalistes","","none","nonenonenone",""
"Le Berry républicain","BERRY REPUBLICAIN (LE)","Bourges","Bourges","none","2016","Le Berry républicain","BERRY REPUBLICAIN (LE)","1944","Départemental","18","none","none","Centre-France La Montagne","1982","none","nonenonenone","http://www.leberry.fr/"
"L'écho républicain","ECHO REPUBLICAIN (L')","Chartres","Chartres","none","2016","L'écho républicain","ECHO REPUBLICAIN (L')","1922","Départemental","28,78","none","none","Centre-France La Montagne","2010","none","nonenonenone","http://www.lechorepublicain.fr/accueil.html"
"L'Eveil de la Haute Loire","EVEIL DE LA HAUTE LOIRE (L')","Le Puy en Velay","Le_Puy_en_Velay","none","2016","L'Eveil de la Haute Loire","EVEIL DE LA HAUTE LOIRE (L')","","Départemental","43","none","none","Centre-France La Montagne","2013","none","nonenonenone","http://www.leveil.fr/"
"Le journal du Centre","JOURNAL DU CENTRE (LE)","Nevers","Nevers","none","2016","Le journal du Centre","LE JOURNAL DU CENTRE","1944","Départemental","58","none","none","Centre-France La Montagne","1972","none","nonenonenone","http://www.lejdc.fr/vie-locale.html"
"La Montage","MONTAGNE (LA)","Clermont_Ferrand","Clermont_Ferrand","none","2016","La Montage","MONTAGE (LA)","1919","Départemental","3,15,19,23,43,63,87","none","none","Centre-France La Montagne","1972","none","nonenonenone","http://www.lamontagne.fr/accueil.html"
"L'Yonne républicaine","YONNE REPUBLICAINE (L')","Auxerre","Auxerre","none","2016","L'Yonne républicaine","YONNE REPUBLICAINE (L')","1944","Départemental","58,77,89","none","none","Centre-France La Montagne","2008","none","nonenonenone","http://www.lyonne.fr/accueil.html"
