"Titre_1945","Ville","Fin_type","Fin_Annee","Titre_2016","Crea_Annee","Aire_diffusion","change_fusion_nom","change_date","groupe","date_groupe","periode_cessation","source"
"Le Petit journal","Montauban","none","2016","Le Petit journal","2002","9,11,12,31,32,34,46,47,65,66","none","none","Alain Paga","","none","http://www.lepetitjournal.net/Lot-et-Garonne/1-Accueil.htm"
"L'écho du centre","Limoges","none","2016","L'écho de la Haute Vienne","1943","19,23,24,36,87","none","none","antilibéral - PCF - indépendant","","none","http://www.l-echo.info/"
"Agence quotidienne d'informations économiques et financières","National","hebdomadaire + web","2016","L'agefi hebdo (web)","1911","none","false, L'Agefi Hebo","2005","Artemis","","none",""
"La Provence","Marseille","none","2016","none","1997","4,5,13,84","true,Le Provençal","1997","Bernard Tapie","2012","none","http://www.laprovence.com/"
"Corse matin","Ajaccio","none","2016","Corse matin","1944","2A,2B,4,5,6,13,83,84","none","none","Bernard Tapie","2012","none","http://www.corsematin.com/"
"Nice matin","Nice","none","2016","Nice matin","1944","6","none","none","Bernard Tapie","2012","none","http://www.nicematin.com/"
"Var-Matin","Nice","none","2016","none","1946","83","none","none","Bernard Tapie","2012","none",""
"L'Opinion","National","none","2016","L'Opinion","2013","none","none","none","Bey medias SAS","","none",""
"Le Lorrain","Metz","cesse","1969","none","1883","57","none","none","Catholique","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32809323p"
"Le nouvel Alsacien","Strasbourg","cesse","1986","none","1986","67,68,90","none","none","Catholique","","none",""
"Présent (1982)","National","none","2016","Présent (1982)","1982","none","none","none","Catholique traditionnalistes","","none",""
"Le Berry républicain","Bourges","none","2016","Le Berry républicain","1944","18","none","none","Centre-France La Montagne","1982","none","http://www.leberry.fr/"
"L'écho républicain","Chartres","none","2016","L'écho républicain","1922","28,78","none","none","Centre-France La Montagne","2010","none","http://www.lechorepublicain.fr/accueil.html"
"L'Eveil de la Haute Loire","Le_Puy_en_Velay","none","2016","L'Eveil de la Haute Loire","","43","none","none","Centre-France La Montagne","2013","none","http://www.leveil.fr/"
"Le journal du Centre","Nevers","none","2016","Le journal du Centre","1944","58","none","none","Centre-France La Montagne","1972","none","http://www.lejdc.fr/vie-locale.html"
"La Montage","Clermont_Ferrand","none","2016","La Montage","1919","3,15,19,23,43,63,87","none","none","Centre-France La Montagne","1972","none","http://www.lamontagne.fr/accueil.html"
"L'Yonne républicaine","Auxerre","none","2016","L'Yonne républicaine","1944","58,77,89","none","none","Centre-France La Montagne","2008","none","http://www.lyonne.fr/accueil.html"
"Le Populaire du centre","Limoges","none","2016","Le Populaire du centre","1905","16,23,87","none","none","Centre-France La Montagne","1972","none","http://www.lepopulaire.fr/accueil.html"
"La république du centre","Orleans","none","2016","La république du centre","1944","45","none","none","Centre-France La Montagne","2010","none","http://www.larep.fr/vie-locale.html"
"La Nouvelle république de Centre Ouest","Tours","none","2016","La Nouvelle république de Centre Ouest","1944","16,17,18,28,36,37,41,45,79,86","none","none","Centre-France La Montagne","2010","none","http://www.lanouvellerepublique.fr/"
"La liberté du Morbihan","Vannes","cesse","1995","none","1944","56","false,Le Morbihan Libéré","1944","CGT","","none",""
"Nouveau Rhin français","Colmar","fusion","1962","none","1945","68","none","none","Chrétien","","none","http://www.worldcat.org/title/nouveau-rhin-francais-grand-quotidien-chretien-republicain-du-haut-rhin/oclc/472483113"
"Le Nouvelliste du Morbihan","Vannes","cesse","1944","none","1883","56","none","none","Collaboration_Vichy","","none",""
"Le Matin","National","Cesse ","1944","none","1883","none","none","none","Collaboration_Vichy","","none",""
"Combat","National","cesse","1974","none","1941","none","none","none","Combat_CNR","","none",""
