"fill","cx","cy","cxx","cyy","cxxx","cyyy","cxxxx","cyyyy","id_x","id_y"
"#201F24","11.548","228.187","11,548","228,187","9,393","9,398","1","1","1","1"
"#17161B","11.548","237.585","11,548","237,585","9,393","18,796","1","2","1","2"
"#2F2D30","11.548","246.984","11,548","246,984","9,393","28,195","1","3,000106406","1","3"
"#1E1B1E","11.548","256.382","11,548","256,382","9,393","37,593","1","4,000106406","1","4"
"#221E22","11.548","265.781","11,548","265,781","9,393","46,992","1","5,000212811","1","5"
"#272326","11.548","275.179","11,548","275,179","9,393","56,39","1","6,000212811","1","6"
"#1E1A1D","11.548","284.578","11,548","284,578","9,393","65,789","1","7,000319217","1","7"
"#2B262A","11.548","293.976","11,548","293,976","9,393","75,187","1","8,000319217","1","8"
"#251C24","11.548","303.375","11,548","303,375","9,393","84,586","1","9,000425622","1","9"
"#322830","11.548","312.773","11,548","312,773","9,393","93,984","1","10,00042562","1","10"
"#31292F","11.548","322.171","11,548","322,171","9,393","103,382","1","11,00042562","1","11"
"#332830","11.548","331.57","11,548","331,57","9,393","112,781","1","12,00053203","1","12"
"#473D44","11.548","340.968","11,548","340,968","9,393","122,179","1","13,00053203","1","13"
"#3A2E37","11.548","350.367","11,548","350,367","9,393","131,578","1","14,00063843","1","14"
"#3F3037","11.548","359.765","11,548","359,765","9,393","140,976","1","15,00063843","1","15"
"#30262D","11.548","369.164","11,548","369,164","9,393","150,375","1","16,00074484","1","16"
"#3F3038","11.548","378.562","11,548","378,562","9,393","159,773","1","17,00074484","1","17"
"#4B3E45","11.548","387.96","11,548","387,96","9,393","169,171","1","18,00074484","1","18"
"#3D2D36","11.548","397.359","11,548","397,359","9,393","178,57","1","19,00085124","1","19"
"#413038","11.548","406.757","11,548","406,757","9,393","187,968","1","20,00085124","1","20"
"#44333A","11.548","416.156","11,548","416,156","9,393","197,367","1","21,00095765","1","21"
"#3C2A32","11.548","425.554","11,548","425,554","9,393","206,765","1","22,00095765","1","22"
"#45343B","11.548","434.952","11,548","434,952","9,393","216,163","1","23,00095765","1","23"
"#423038","11.548","444.351","11,548","444,351","9,393","225,562","1","24,00106406","1","24"
"#422F37","11.548","453.749","11,548","453,749","9,393","234,96","1","25,00106406","1","25"
"#48363E","11.548","463.147","11,548","463,147","9,393","244,358","1","26,00106406","1","26"
"#412E36","11.548","472.546","11,548","472,546","9,393","253,757","1","27,00117046","1","27"
"#48343A","11.548","481.944","11,548","481,944","9,393","263,155","1","28,00117046","1","28"
"#3E2B32","11.548","491.343","11,548","491,343","9,393","272,554","1","29,00127687","1","29"
"#403136","11.548","500.741","11,548","500,741","9,393","281,952","1","30,00127687","1","30"
"#57464B","11.548","510.14","11,548","510,14","9,393","291,351","1","31,00138327","1","31"
"#423137","11.548","519.538","11,548","519,538","9,393","300,749","1","32,00138327","1","32"
"#3A2C2F","11.548","528.937","11,548","528,937","9,393","310,148","1","33,00148968","1","33"
"#352A2A","11.548","538.335","11,548","538,335","9,393","319,546","1","34,00148968","1","34"
"#2E2122","11.548","547.733","11,548","547,733","9,393","328,944","1","35,00148968","1","35"
"#3C3233","11.548","557.132","11,548","557,132","9,393","338,343","1","36,00159608","1","36"
"#2D2020","11.548","566.53","11,548","566,53","9,393","347,741","1","37,00159608","1","37"
"#2E2425","11.548","575.929","11,548","575,929","9,393","357,14","1","38,00170249","1","38"
"#342B2B","11.548","585.327","11,548","585,327","9,393","366,538","1","39,00170249","1","39"
"#2E2020","11.548","594.726","11,548","594,726","9,393","375,937","1","40,0018089","1","40"
"#382D2D","11.548","604.124","11,548","604,124","9,393","385,335","1","41,0018089","1","41"
"#302423","11.548","613.522","11,548","613,522","9,393","394,733","1","42,0018089","1","42"
"#3D3231","11.548","622.921","11,548","622,921","9,393","404,132","1","43,0019153","1","43"
"#392E2D","11.548","632.319","11,548","632,319","9,393","413,53","1","44,0019153","1","44"
"#342727","11.548","641.718","11,548","641,718","9,393","422,929","1","45,00202171","1","45"
"#3A2F2F","11.548","651.116","11,548","651,116","9,393","432,327","1","46,00202171","1","46"
"#2F2422","11.548","660.515","11,548","660,515","9,393","441,726","1","47,00212811","1","47"
"#392D2C","11.548","669.913","11,548","669,913","9,393","451,124","1","48,00212811","1","48"
"#3E3231","11.548","679.312","11,548","679,312","9,393","460,523","1","49,00223452","1","49"
"#3F302E","11.548","688.71","11,548","688,71","9,393","469,921","1","50,00223452","1","50"
"#504240","11.548","698.108","11,548","698,108","9,393","479,319","1","51,00223452","1","51"
"#463531","11.548","707.507","11,548","707,507","9,393","488,718","1","52,00234092","1","52"
"#4C3B37","11.548","716.905","11,548","716,905","9,393","498,116","1","53,00234092","1","53"
"#4E3E3A","11.548","726.304","11,548","726,304","9,393","507,515","1","54,00244733","1","54"
"#463530","11.548","735.702","11,548","735,702","9,393","516,913","1","55,00244733","1","55"
"#4E3C38","11.548","745.101","11,548","745,101","9,393","526,312","1","56,00255373","1","56"
"#422F2A","11.548","754.499","11,548","754,499","9,393","535,71","1","57,00255373","1","57"
"#463531","11.548","763.897","11,548","763,897","9,393","545,108","1","58,00255373","1","58"
"#4D3D39","11.548","773.296","11,548","773,296","9,393","554,507","1","59,00266014","1","59"
"#43322E","11.548","782.694","11,548","782,694","9,393","563,905","1","60,00266014","1","60"
