"Ville","pop","cX","cY"
"2262053","3","3.1209309827","50.7912464811"
"2261765","53","3.1355878298","50.7885119371"
"2261764","2","3.1242855396","50.7878377635"
"2261639","5","3.1499796143","50.7875643108"
"2261763","4","3.1186344943","50.7875002344"
"2261638","128.5","3.1386773008","50.786891507"
"2261637","325","3.1358518139","50.7867231537"
"2261636","308","3.1330263111","50.7865547092"
"2261635","324.5","3.1302008386","50.7863861794"
"2261634","271","3.1273753409","50.7862175989"
"2261633","420.5","3.1245498928","50.7860489955"
"2261632","331.5","3.1217244664","50.7858802932"
"2261631","64","3.1188990704","50.7857115056"
"2261513","19","3.1474175202","50.785607402"
"2261630","32","3.1160736935","50.7855426535"
"2261629","37","3.1132483239","50.7853737132"
"2261512","7","3.1417666058","50.785271023"
"2261628","5","3.1104229701","50.7852046979"
"2261511","127","3.1389411654","50.7851027129"
"2261510","239","3.136115744","50.7849343384"
"2261509","412.5","3.1332903767","50.7847659263"
"2261508","532","3.1304649935","50.784597423"
"2261507","414.5","3.127639603","50.7844288418"
"2261506","235.5","3.124814225","50.7842602025"
"2261505","338.5","3.1219889223","50.7840915088"
"2261504","174","3.1163383505","50.7837538803"
"2261402","15","3.1448556154","50.7836504109"
"2261503","151","3.1135131046","50.7835849485"
"2261401","2","3.1420302451","50.7834821918"
"2261502","11","3.1106878546","50.7834159493"
"2261400","110","3.1392049403","50.7833139141"
"2261399","269","3.1363796194","50.7831455452"
"2261398","340","3.1335543296","50.7829771358"
"2261397","577.5","3.1307290589","50.7828086619"
"2261396","307.5","3.1279038065","50.7826400788"
"2261395","154.5","3.1250785733","50.7824714312"
"2261394","605.5","3.1222533592","50.7823027192"
"2261393","181","3.1194281643","50.7821339428"
"2261283","4","3.1479444128","50.782029739"
"2261392","237","3.1166029885","50.7819651019"
"2261282","15","3.1451191471","50.7818615929"
"2261391","264","3.1137778318","50.7817961966"
"2261281","5","3.1422939006","50.7816933823"
"2261390","158","3.1109526943","50.7816272269"
"2261280","107.5","3.1394686731","50.7815251073"
"2261389","117","3.108127576","50.7814581928"
"2261279","117.5","3.1366434647","50.7813567678"
"2261388","3","3.1053024768","50.7812890942"
"2261278","258","3.1338182635","50.7811883401"
"2261277","543.5","3.1309931164","50.7810198747"
"2261276","326","3.1281679864","50.7808513252"
"2261275","344.5","3.1253428914","50.7806826757"
"2261274","341","3.1225177779","50.7805139693"
"2261273","152.5","3.1196926834","50.7803451984"
"2261272","200.5","3.1168676081","50.7801763632"
"2261271","387.5","3.114042552","50.7800074635"
"2261270","232","3.111217515","50.7798384994"
"2261157","62","3.1397323989","50.7797363192"
"2261269","209","3.1083924972","50.7796694709"
"2261156","220","3.1369072911","50.7795679853"
"2261268","86","3.1055674985","50.7795003779"
"2261155","87","3.1340822346","50.7793995493"
