IRIS_2015;DEP;COM;LIBIRIS;C15_POP15P;C15_POP15P_CS1;C15_POP15P_CS2;C15_POP15P_CS3;C15_POP15P_CS4;C15_POP15P_CS5;C15_POP15P_CS6;C15_POP15P_CS7;C15_POP15P_CS8;IRIS_2014;C14_POP15P;C14_POP15P_CS1;C14_POP15P_CS2;C14_POP15P_CS3;C14_POP15P_CS4;C14_POP15P_CS5;C14_POP15P_CS6;C14_POP15P_CS7;C14_POP15P_CS8;IRIS_2013;C13_POP15P;C13_POP15P_CS1;C13_POP15P_CS2;C13_POP15P_CS3;C13_POP15P_CS4;C13_POP15P_CS5;C13_POP15P_CS6;C13_POP15P_CS7;C13_POP15P_CS8;IRIS_2012;C12_POP15P;C12_POP15P_CS1;C12_POP15P_CS2;C12_POP15P_CS3;C12_POP15P_CS4;C12_POP15P_CS5;C12_POP15P_CS6;C12_POP15P_CS7;C12_POP15P_CS8;IRIS_2011;C11_POP15P;C11_POP15P_CS1;C11_POP15P_CS2;C11_POP15P_CS3;C11_POP15P_CS4;C11_POP15P_CS5;C11_POP15P_CS6;C11_POP15P_CS7;C11_POP15P_CS8;IRIS_2010;C10_POP15P;C10_POP15P_CS1;C10_POP15P_CS2;C10_POP15P_CS3;C10_POP15P_CS4;C10_POP15P_CS5;C10_POP15P_CS6;C10_POP15P_CS7;C10_POP15P_CS8;IRIS_2009;C09_POP15P;C09_POP15P_CS1;C09_POP15P_CS2;C09_POP15P_CS3;C09_POP15P_CS4;C09_POP15P_CS5;C09_POP15P_CS6;C09_POP15P_CS7;C09_POP15P_CS8;IRIS_2008;C08_POP15P;C08_POP15P_CS1;C08_POP15P_CS2;C08_POP15P_CS3;C08_POP15P_CS4;C08_POP15P_CS5;C08_POP15P_CS6;C08_POP15P_CS7;C08_POP15P_CS8;IRIS_2007;C07_POP15P;C07_POP15P_CS1;C07_POP15P_CS2;C07_POP15P_CS3;C07_POP15P_CS4;C07_POP15P_CS5;C07_POP15P_CS6;C07_POP15P_CS7;C07_POP15P_CS8;IRIS_2006;C06_POP15P;C06_POP15P_CS1;C06_POP15P_CS2;C06_POP15P_CS3;C06_POP15P_CS4;C06_POP15P_CS5;C06_POP15P_CS6;C06_POP15P_CS7;C06_POP15P_CS8
593500101;59;59350;lille centre 1;25;0;0;18;4;0;4;0;0;593500101;26;0;0;19;4;0;4;0;0;593500101;26;0;0;18;4;0;4;0;0;593500101;24;0;0;17;3;0;3;0;0;593490000;1387;8;51;110;145;255;255;380;184;593490000;1358;8;50;107;142;249;249;372;180;593490000;1332;12;37;25;153;223;327;343;211;593490000;1320;12;37;25;152;221;324;340;72;593490000;1288;12;36;24;148;216;316;332;204;593490000;1285;12;36;24;148;215;315;331;71
593500104;59;59350;lille centre 4;2560;0;55;568;320;239;86;361;931;593500104;2568;0;64;514;330;285;98;373;906;593500104;2513;0;66;493;296;286;91;375;906;593500104;2353;0;69;460;288;311;103;348;774;593500101;36;0;0;21;0;0;4;0;11;593500101;37;0;0;22;0;0;4;0;11;593500101;58;0;0;36;0;0;7;0;14;593500101;66;0;0;41;0;0;8;0;131;593500101;71;0;0;45;0;0;9;0;18;593500101;26;0;0;17;0;0;4;0;212
593500105;59;59350;lille centre 5;2319;0;69;373;343;210;44;163;1116;593500105;2375;0;70;370;375;234;55;189;1082;593500105;2437;0;63;365;402;236;66;228;1076;593500105;2414;0;70;387;370;233;74;236;1043;593500104;2349;1;47;471;353;283;120;319;755;593500104;2344;0;39;437;379;289;119;323;758;593500104;2387;0;38;501;406;254;108;273;807;593500104;2413;4;29;452;393;307;146;277;209;593500104;2445;4;38;493;432;251;113;290;825;593500104;2451;4;46;515;386;260;109;300;204
593500106;59;59350;lille centre 6;1303;0;13;287;163;148;32;88;573;593500106;1337;0;12;300;200;148;33;104;541;593500106;1236;0;9;272;190;125;24;79;537;593500106;1214;0;8;207;192;144;30;100;533;593500105;2306;0;50;390;317;216;81;205;1047;593500105;2344;0;46;418;350;230;71;184;1045;593500105;2364;0;45;421;340;253;62;168;1074;593500105;2370;0;32;424;319;262;69;127;16;593500105;2442;0;23;451;334;263;65;122;1184;593500105;2475;0;15;459;338;263;70;187;4
593500107;59;59350;lille centre 7;101;0;0;34;15;7;8;18;19;593500107;106;0;4;34;15;4;4;19;27;593500107;79;0;3;25;7;4;0;18;21;593500107;75;0;3;24;7;3;0;17;20;593500106;1197;0;6;214;192;151;36;145;451;593500106;1148;0;10;185;233;124;28;117;450;593500106;1014;0;8;165;174;94;19;87;468;593500106;1052;0;9;188;177;98;20;87;805;593500106;1057;0;14;207;169;77;13;76;503;593500106;935;0;12;189;139;54;8;55;832
593500108;59;59350;lille centre 8;128;0;8;53;5;14;0;4;44;593500108;153;0;7;56;8;18;0;11;53;593500108;151;0;7;55;8;18;0;11;52;593500108;227;0;10;40;13;17;3;77;67;593500107;96;0;3;25;11;0;0;25;32;593500107;70;0;4;11;7;0;0;26;22;593500107;65;0;4;11;7;0;4;25;14;593500107;99;0;8;20;12;0;8;28;1138;593500107;111;0;9;24;13;0;9;31;26;593500107;126;0;8;37;8;12;8;28;1143
593500109;59;59350;lille centre 9;145;0;7;32;17;11;4;18;56;593500109;151;0;4;27;24;15;0;22;58;593500109;167;0;7;32;39;13;0;18;56;593500109;140;0;3;31;34;9;0;13;50;593500108;218;0;7;42;14;14;3;76;62;593500108;198;0;9;36;14;7;4;79;50;593500108;212;0;8;42;14;8;5;77;58;593500108;241;0;9;48;16;10;5;87;473;593500108;273;0;10;61;9;23;19;22;129;593500108;275;0;10;61;12;26;17;21;477
593500110;59;59350;lille centre 10;492;0;19;160;95;35;1;43;138;593500110;542;0;17;176;104;43;4;44;154;593500110;532;0;16;166;79;62;7;43;161;593500110;505;0;10;156;67;54;10;54;153;593500109;159;0;4;33;40;20;0;14;48;593500109;186;0;11;31;34;28;4;11;66;593500109;210;0;15;39;34;24;11;11;77;593500109;209;0;13;33;25;24;13;18;21;593500109;262;0;14;36;23;31;18;20;121;593500109;260;0;13;50;25;25;21;19;23
593500111;59;59350;lille centre 11;2441;1;55;642;444;266;71;216;747;593500111;2482;1;68;640;412;281;68;208;805;593500111;2605;0;70;689;446;316;66;218;801;593500111;2451;0;59;597;453;296;68;228;749;593500110;531;0;7;167;81;54;13;58;152;593500110;492;0;7;156;74;67;17;34;137;593500110;470;0;7;143;59;56;13;33;159;593500110;318;0;8;81;43;31;11;22;67;593500110;329;0;4;84;42;43;7;20;129;593500110;329;0;8;81;63;39;8;17;129
593500112;59;59350;lille centre 12;2319;0;74;671;335;228;46;191;773;593500112;2279;0;63;711;334;215;34;214;710;593500112;2176;0;53;638;333;229;30;197;696;593500112;2070;0;43;563;341;234;32;181;675;593500111;2395;0;62;562;439;306;81;222;722;593500111;2430;0;58;557;398;305;99;238;776;593500111;2411;0;34;550;407;303;106;234;776;593500111;2385;0;35;474;434;281;100;246;83;593500111;2366;0;52;480;408;287;98;256;786;593500111;2368;0;58;484;409;273;97;255;109
