id;adresse;commune;region;pays;nbPhInd;nbPhSit;nomChem;nomSitHist;nomSitUsa;nbrChem;batiIndus;archiSite;etatSite;etatChem;ajoutCont;visAppre;visComm;hauteurPr;hauteurEs;archiChem;materChem;usHist;usActu;reconv;occup;typePropr;infoHist;ptcSite;ptcChem;amSiteA;amSiteA_D;amChemA;amChemA_D;amSiteV;amSiteV_D;amChemV;amChemV_D;valSite;valSiteD;valChem;valChemD;gidSit;nuts;Y;X
R23;22 rue MoliŠre;ROUBAIX;;;0;0;;Usine Alfred Motte fils;TRATO TLV;;;La parcelle contient un ensemble industriel datant de la p‚riode industrielle puisqu'il pr‚sente actuellement d'importantes similitudes avec le bƒti de 1932. Le bƒtiment est compos‚ de toits en sheds, caract‚ristique de cette ‚poque industrielle. ;Bon;Bon;;;;;20-40;La couleur rouge des cerclages homog‚n‚ise la couleur de la chemin‚e entiŠre. Elle est fortement visible et bien int‚gr‚e dans le bƒti qui a gard‚ une architecture industrielle. ;Briques;Fabrique de Guipures;Entreprise TRATO, Fabrication d'appareils d'‚clairage ‚lectrique;;;Priv‚;;Sites Patrimoniaux Remarquables;;Non ; Soci‚t‚ toujours en activit‚;;;0;0;;;;;;;1;;50.689603; 3.200701
R24;117 rue Montgolfier;ROUBAIX;;;0;0;;Usine CAVROIS - MAHIEU;H“tel d'entreprises CAVROIS - MAHIEU;;;Le bƒti actuel pr‚sente un ensemble industriel conserv‚ et datant de l'‚poque industrielle. Il pr‚sente ‚galement des caract‚ristiques fortes de cette p‚riode notamment par son toit en shed et ses dimensions imposantes du point de vue horizontal et ‚galement vertical avec les deux chemin‚es;Bon;Bon;;;;;40+;Cerclage r‚gulier. Dualit‚ trŠs importante entre les deux chemin‚es. Sym‚trie avec les cerclages des deux chemin‚es (effet de mirroir) mais contraste par leur couronne et l'ajout sur f–t. Cette chemin‚e possŠde une couronne int‚ressante. Le bƒti a gard‚ un fort aspect industriel.;Briques;Filature, Tissage ;H“tel d'entreprises;;;Priv‚;;Sites Patrimoniaux Remarquables;;Non;;;0;0;;;;;0;0;;2;;50.682139; 3.187369
R25;117 rue Montgolfier;ROUBAIX;;;0;0;;Usine CAVROIS - MAHIEU;H“tel d'entreprises CAVROIS - MAHIEU;;;Le bƒti actuel pr‚sente un ensemble industriel conserv‚ et datant de l'‚poque industrielle. Il pr‚sente ‚galement des caract‚ristiques fortes de cette p‚riode notamment par son toit en shed et ses dimensions imposantes du point de vue horizontal et ‚galement vertical avec les deux chemin‚es;Bon;Bon;;;;;40+;L'aspect sym‚trique est semblable … la chemin‚e R24. ;Briques;Filature, Tissage ;H“tel d'entreprises;;;Priv‚;;Sites Patrimoniaux Remarquables;;Non;;;0;0;;;;;0;0;;2;;50.682137; 3.186779
R26;8 rue Mouvaux;ROUBAIX;;;0;0;;Tannerie Corroierie POULLET-DEMEESTERE;Tannerie Corroierie POULLET-DEMEESTERE;;;Le site se pr‚sente comme une friche partiellement am‚nag‚e avec l'installation de jeux pour enfants et d'un espace de stationnements. Il ne reste plus rien de l'‚poque industrielle … part la chemin‚e.;Mauvais;Mauvais;;;;;0-20;Chemin‚e remarquable pour son socle carr‚, unique cas dans les 64 chemin‚es du territoire d'‚tude. L'ensemble du bƒti a ‚t‚ d‚truit mais on peut noter une coh‚rence et un rappel avec le bƒtiment Liberty box en face du parc, cr‚ant une lecture sym‚trique.;Briques;Tannerie;Entreprise de tannerie Corroierie E. Poullet-DemeestŠre ;;;SEM Ville Renouvel‚e (… v‚rifier);;Sites Patrimoniaux Remarquables;;Oui ; Projet de square en cours;;;0;0;;;;;;;3;;50.693748; 3.160959
R27;86 rue de Nancy;ROUBAIX;;;0;0;;Tissage CRAYE G‚n‚ration;G‚n‚rations projets ;;;Le site est compos‚ de plusieurs bƒtiments de type industriel datant pour la plupart de l'‚poque industrielle avec des toits en shed notamment.;Moyen;Moyen;;;;;0-20;Les cerclages sont assez originaux, de couleur blanche. Avec la rouille, ils ressortent trŠs nettement, apportent du relief et de la lumiŠre … la chemin‚e. Le bƒti reste encore fortement industriel avec une coh‚sion avec la chemin‚e;Briques; Tissage;Logements, parkings;;;Priv‚;;Sites Patrimoniaux Remarquables;;Non;;;0;0;;;;;0;0;;4;;50.683527; 3.196697
R28;3 rue de l'Ouest;ROUBAIX;;;0;0;;Manque d'information;Soci‚t‚ LIVERA;;;Le cadre regroupe un ensemble de composants industriels. La forme reste sensiblement la mˆme que celle de la p‚riode industrielle.;Moyen;Mauvais;;;;;0-20;Chemin‚e trŠs fine. Son contexte bƒti ne la met que trŠs peu en valeur. ;Briques;Production de produits chimiques ;Entreprise ;;;Priv‚;;Sites Patrimoniaux Remarquables;;Non ; Soci‚t‚ toujours en activit‚;;;0;0;;;;;;;5;;50.694472; 3.159326
R29;62-72 rue Pellart;ROUBAIX;;;0;0;;Teinturerie MONNET & GOMBERT (r. Lacroix);Friche;;;"La parcelle est compos‚e d'une friche urbaine o— le seul ‚l‚ment bƒti est la chemin‚e qui est ‚galement le seul ‚l‚ment repr‚sentatif du pass‚ industriel.";Mauvais;Moyen;;;;;20-40;Chemin‚e peu int‚ressante, complŠtement isol‚e. Le site est principalement en friche. Sa couleur trŠs sombre ne la met pas en avant dans un contexte que l'on peut consid‚rer comme assez d‚laiss‚;Briques;Tissage;Friche;;;Priv‚;;Sites Patrimoniaux Remarquables;;Non;;;0;0;;;;;0;0;;6;;50.696040; 3.183791
R30;56 rue Saint-Maurice;ROUBAIX;;;0;0;;Tissage LEURENT-VERNIER; SIEF;;;Les ensembles bƒtis du site actuel ont gard‚ une importante coh‚rence avec la morphologie urbaine de l'‚poque industrielle. Il y a alors eu quelques changements sur le site notamment l'un des bƒtiments qui a perdu son toit en shed.;Bon;Moyen;;;;;0-20;Chemin‚e faiblement visible. Elle est assez sombre et ne possŠde pas de r‚el int‚rˆt avec son bƒti. ;Briques;Tissage;SIEF (vente et installation de climatisation);;;Priv‚;;Sites Patrimoniaux Remarquables;;Non ; Soci‚t‚ toujours en activit‚;;;0;0;;;;;;;7;;50.699559; 3.170613
R31;50 rue S‚bastopol;ROUBAIX;;;0;0;;Teinturerie et apprˆt L‚on DESCHEPPER;P“le ressources jeunesse;;;La structure du bƒti pr‚sente une grande similitude avec celle de la p‚riode industrielle. Le site est compos‚ d'‚l‚ments industriels, d'une partie non bƒtie et d'un parking;Moyen;Moyen;;;;;20-40;Chemin‚e bƒtie avec une r‚elle particularit‚. La chemin‚e est complŠtement int‚gr‚e dans le bƒti et ne d‚passe que de quelques mŠtres. On retrouve un peu de v‚g‚tation sur le f–t;Briques;Teinturerie;Service qui d‚veloppe des projets en direction et avec les jeunes de 13 … 25 ans;;;Public;;Sites Patrimoniaux Remarquables;;Non;;;0;0;;;;;0;0;;8;;50.689947; 3.169495
R32;122 rue de Tourcoing;ROUBAIX;;;0;0;;Filature et teinturerie Louis LEPOUTRE & Cie;H“tel d'entreprises ;;;Le site est compos‚ de plusieurs bƒtiments de type industriel datant pour la plupart de l'‚poque industrielle. On retrouve aussi la chemin‚e d'usine d'origine.;Bon;Bon;;;;;40+;Belle couleur rouge en coh‚rence avec l'ensemble du bƒti environnant. Bien visible ;Briques;Pas d'information;H“tel d'entreprises;;;Priv‚;;Sites Patrimoniaux Remarquables;;Oui ; Projet d'h“tel d'entreprises en particulier pour l'e-commerce (Projet Blanche Maille ?);;;0;0;;;;;;;9;;50.704727; 3.172127
