"IRIS","REG","DEP","UU2010","COM","LIBCOM","TRIRIS","GRD_QUART","LIBIRIS","TYP_IRIS","MODIF_IRIS","LAB_IRIS","P15_LOG","P15_RP","P15_RSECOCC","P15_LOGVAC","P15_MAISON","P15_APPART","P15_RP_1P","P15_RP_2P","P15_RP_3P","P15_RP_4P","P15_RP_5PP","P15_NBPI_RP","P15_RPMAISON","P15_NBPI_RPMAISON","P15_RPAPPART","P15_NBPI_RPAPPART","P15_RP_M30M2","P15_RP_3040M2","P15_RP_4060M2","P15_RP_6080M2","P15_RP_80100M2","P15_RP_100120M2","P15_RP_120M2P","P15_RP_ACHTOT","P15_RP_ACH19","P15_RP_ACH45","P15_RP_ACH70","P15_RP_ACH90","P15_RP_ACH05","P15_RP_ACH12","P15_RPMAISON_ACHTOT","P15_RPMAISON_ACH19","P15_RPMAISON_ACH45","P15_RPMAISON_ACH70","P15_RPMAISON_ACH90","P15_RPMAISON_ACH05","P15_RPMAISON_ACH12","P15_RPAPPART_ACHTOT","P15_RPAPPART_ACH19","P15_RPAPPART_ACH45","P15_RPAPPART_ACH70","P15_RPAPPART_ACH90","P15_RPAPPART_ACH05","P15_RPAPPART_ACH12","P15_MEN","P15_MEN_ANEM0002","P15_MEN_ANEM0204","P15_MEN_ANEM0509","P15_MEN_ANEM10P","P15_PMEN","P15_PMEN_ANEM0002","P15_PMEN_ANEM0204","P15_PMEN_ANEM0509","P15_PMEN_ANEM10P","P15_NBPI_RP_ANEM0002","P15_NBPI_RP_ANEM0204","P15_NBPI_RP_ANEM0509","P15_NBPI_RP_ANEM10P","P15_RP_PROP","P15_RP_LOC","P15_RP_LOCHLMV","P15_RP_GRAT","P15_NPER_RP","P15_NPER_RP_PROP","P15_NPER_RP_LOC","P15_NPER_RP_LOCHLMV","P15_NPER_RP_GRAT","P15_ANEM_RP","P15_ANEM_RP_PROP","P15_ANEM_RP_LOC","P15_ANEM_RP_LOCHLMV","P15_ANEM_RP_GRAT","P15_RP_SDB","P15_RP_CCCOLL","P15_RP_CCIND","P15_RP_CINDELEC","P15_RP_ELEC","P15_RP_EAUCH","P15_RP_BDWC","P15_RP_CHOS","P15_RP_CLIM","P15_RP_TTEGOU","P15_RP_GARL","P15_RP_VOIT1P","P15_RP_VOIT1","P15_RP_VOIT2P","P15_RP_HABFOR","P15_RP_CASE","P15_RP_MIBOIS","P15_RP_MIDUR"
"590010000","32","59","59000","59001","Abancourt","ZZZZZZ","5900100","Abancourt (commune non irisée)","Z","0","5","198","180","7","11","196","1","0","1","10","31","139","975","180","975","0","0","0","0","2","14","38","59","67","170","16","47","13","49","31","15","170","16","47","13","49","31","15","0","0","0","0","0","0","0","180","10","19","34","118","459","29","48","107","276","55","99","187","633","165","15","0","1","459","421","37","0","1","3684","3540","99","0","45","172","0","109","53","","","","","","","151","172","68","104","","","",""
"590020000","32","59","59701","59002","Abscon","ZZZZZZ","5900200","Abscon (commune non irisée)","Z","0","5","1908","1781","11","116","1747","158","3","135","211","491","941","8128","1644","7705","134","410","10","50","169","538","590","242","182","1749","296","408","438","342","114","151","1616","278","397","422","310","93","116","130","17","10","15","32","21","35","1781","163","352","269","997","4423","395","932","789","2307","663","1481","1212","4772","994","751","451","36","4423","2536","1834","1112","53","32726","22535","9087","6548","1104","1710","13","1359","238","","","","","","","1231","1470","857","613","","","",""
"590030000","32","59","59000","59003","Aibes","ZZZZZZ","5900300","Aibes (commune non irisée)","Z","0","5","160","146","3","11","154","1","3","2","3","23","116","805","141","795","0","0","3","0","6","5","37","41","54","145","60","13","12","38","16","5","140","58","13","11","37","15","5","0","0","0","0","0","0","0","146","9","13","22","102","379","23","46","59","251","48","73","115","570","124","20","0","2","379","326","51","0","2","3200","2940","246","0","14","140","1","83","16","","","","","","","128","136","61","75","","","",""
"590040000","32","59","59000","59004","Aix","ZZZZZZ","5900400","Aix (commune non irisée)","Z","0","5","453","426","4","24","437","15","2","14","31","85","294","2269","411","2225","13","35","4","5","23","45","82","96","171","393","83","46","32","79","109","43","379","80","44","31","78","105","40","12","3","2","1","0","3","4","426","56","70","48","252","1149","140","190","152","667","263","334","280","1392","338","79","0","8","1149","946","188","0","15","7612","6907","483","0","221","414","0","235","121","","","","","","","370","415","174","241","","","",""
"590050000","32","59","59303","59005","Allennes-les-Marais","ZZZZZZ","5900500","Allennes-les-Marais (commune non irisée)","Z","0","5","1337","1306","5","26","1289","48","1","43","117","275","869","6521","1260","6391","46","130","3","16","101","198","466","286","237","1300","104","117","267","437","270","105","1255","98","111","259","435","268","84","45","6","6","7","2","2","22","1306","87","220","199","800","3413","200","574","584","2055","375","993","967","4187","1051","243","109","12","3413","2854","536","205","23","23347","21314","1793","1075","240","1287","2","874","274","","","","","","","1121","1213","526","687","","","",""
"590060000","32","59","59000","59006","Amfroipret","ZZZZZZ","5900600","Amfroipret (commune non irisée)","Z","0","5","92","83","3","5","92","0","1","1","6","12","63","455","83","455","0","0","1","0","3","7","17","19","36","83","36","9","1","10","9","17","83","36","9","1","10","9","17","0","0","0","0","0","0","0","83","3","8","21","50","234","10","22","78","124","20","39","115","281","76","4","0","3","234","218","9","0","6","1679","1590","9","0","80","80","0","41","24","","","","","","","71","80","24","56","","","",""
"590070000","32","59","00756","59007","Anhiers","ZZZZZZ","5900700","Anhiers (commune non irisée)","Z","0","5","351","328","0","22","346","4","5","14","31","81","197","1590","324","1580","3","8","1","12","22","50","109","71","63","327","50","51","61","101","53","12","323","50","49","60","101","53","11","3","0","2","0","0","0","1","328","17","54","52","206","916","42","159","170","545","71","242","259","1017","221","99","64","8","916","585","315","237","16","6394","5039","1110","765","245","316","1","137","115","","","","","","","248","286","136","150","","","",""
"590080101","32","59","59701","59008","Aniche","ZZZZZZ","5900801","Nord","H","0","Z","980","928","6","46","955","24","0","48","157","279","444","4184","903","4107","24","76","0","17","118","220","328","145","99","909","89","229","228","83","70","210","885","88","223","228","80","67","198","24","1","6","0","3","3","12","928","96","198","242","392","2454","218","531","797","908","395","820","1120","1848","501","394","147","33","2454","1400","994","430","60","13377","9214","3631","1250","533","904","6","695","133","","","","","","","551","743","402","341","","","",""
"590080102","32","59","59701","59008","Aniche","ZZZZZZ","5900801","Village Centre","H","0","Z","1322","1174","6","142","977","338","21","129","236","294","494","4974","852","3952","316","1002","18","47","203","316","333","156","102","1153","188","310","183","176","259","38","846","176","285","137","113","111","24","302","12","25","45","63","142","15","1174","156","297","221","500","2908","369","729","639","1171","558","1166","959","2291","510","624","217","40","2908","1289","1502","535","117","15631","10659","4525","1540","448","1132","134","795","176","","","","","","","509","841","545","295","","","",""
"590080103","32","59","59701","59008","Aniche","ZZZZZZ","5900801","Centre 2","H","0","Z","1045","969","3","73","810","235","6","76","124","339","425","4203","754","3514","215","689","9","32","101","267","346","164","50","966","37","129","173","498","73","57","754","37","117","156","372","59","13","212","0","12","17","126","13","43","969","96","171","151","551","2448","238","462","447","1301","376","659","634","2534","502","453","349","14","2448","1287","1133","827","27","16967","11819","4822","4133","326","952","11","832","79","","","","","","","508","781","482","299","","","",""
"590080104","32","59","59701","59008","Aniche","ZZZZZZ","5900801","Sud","H","0","Z","953","867","0","86","865","85","5","69","80","238","474","4038","787","3792","80","246","13","28","80","213","299","133","100","867","108","234","373","59","40","53","787","99","204","342","57","32","52","80","8","30","31","2","8","1","867","117","140","145","464","2478","323","532","489","1133","531","601","645","2260","476","375","210","16","2478","1304","1153","654","22","15779","11714","3703","2845","363","813","40","650","101","","","","","","","440","626","366","261","","","",""
"590090101","32","59","59702","59009","Villeneuve-d'Ascq","590011","5900901","Breucq","H","0","1","938","855","4","78","624","313","6","111","178","229","331","3607","574","2794","281","813","1","26","155","182","230","158","103","843","90","345","189","134","65","21","574","90","298","95","23","53","15","269","0","47","94","110","12","6","855","98","134","163","460","1941","209","329","419","984","320","572","694","2020","542","305","78","9","1941","1317","610","180","14","12926","9568","3073","903","285","827","49","687","112","","","","","","","396","696","391","305","","","",""
"590090102","32","59","59702","59009","Villeneuve-d'Ascq","590011","5900901","Sart","H","0","1","633","579","1","52","548","82","19","28","29","147","356","2910","511","2759","65","149","17","11","45","72","201","124","110","573","41","218","248","30","24","13","510","41","196","226","24","21","3","60","0","22","22","6","0","10","579","49","93","86","351","1345","81","253","265","746","164","447","431","1869","479","87","3","14","1345","1178","138","6","28","10813","10205","331","38","277","549","37","430","80","","","","","","","314","516","319","196","","","",""
