"VAR_ID","VAR_LIB","VAR_LIB_LONG","min","max"
"IRIS","IRIS","Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal suivi du numéro d'IRIS","0","0"
"REG","Région","Code de la région","0","0"
"DEP","Département","Code du département","0","0"
"UU2010","Unité urbaine","Code du département ou "00" pour les unités urbaines qui s'étendent sur plusieurs départements voire au-delà de la frontière suivi d'un code sur une position indiquant la taille de la population puis d'un numéro d'ordre à l'intérieur de la taille","0","0"
"COM","Commune ou ARM","Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal pour Paris Lyon et Marseille","0","0"
"LIBCOM","Libellé commune ou ARM","Libellé de la commune ou de l'arrondissement municipal pour Paris Lyon et Marseille","0","0"
"TRIRIS","TRIRIS","Code du département suivi d'un numéro d'ordre à l'intérieur du département sur trois positions puis d'un indicateur de TRIRIS","0","0"
"GRD_QUART","Grand quartier","Code du département suivi du numéro de commune ou du numéro d'arrondissement municipal pour Paris Lyon et Marseille suivi du numéro de grand quartier","0","0"
"LIBIRIS","Libellé de l'IRIS","Libellé de l'IRIS à l'intérieur de la commune ou de l'arrondissement municipal pour Paris Lyon et Marseille","0","0"
"TYP_IRIS","Type d'IRIS","Type d'IRIS : habitat (H), activité (A), divers (D), Autre (Z)","0","0"
"MODIF_IRIS","Modification de l'IRIS","Type de modification de l'IRIS","0","0"
"LAB_IRIS","Label de l'IRIS","Label de qualité de l'IRIS","0","0"
"P15_LOG","Logements en 2015 (princ)","Nombre de logements","0","4873"
"P15_RP","Résidences principales en 2015 (princ)","Nombre de résidences principales","0","2895"
"P15_RSECOCC","Rés secondaires et logts occasionnels en 2015 (princ)","Nombre de résidences secondaires et logements occasionnels","0","2599"
"P15_LOGVAC","Logements vacants en 2015 (princ)","Nombre de logements vacants","0","555"
"P15_MAISON","Maisons en 2015 (princ)","Nombre de maisons","0","2236"
"P15_APPART","Appartements en 2015 (princ)","Nombre d'appartements","0","3156"
"P15_RP_1P","Rés princ 1 pièce en 2015 (princ)","Nombre de résidences principales d'1 pièce","0","1095"
"P15_RP_2P","Rés princ 2 pièces en 2015 (princ)","Nombre de résidences principales de 2 pièces","0","989"
"P15_RP_3P","Rés princ 3 pièces en 2015 (princ)","Nombre de résidences principales de 3 pièces","0","843"
"P15_RP_4P","Rés princ 4 pièces en 2015 (princ)","Nombre de résidences principales de 4 pièces","0","639"
"P15_RP_5PP","Rés princ 5 pièces ou plus en 2015 (princ)","Nombre de résidences principales de 5 pièces ou plus","0","1243"
"P15_NBPI_RP","Pièces rés princ en 2015 (princ)","Nombre de pièces des résidences principales","0","9951"
"P15_RPMAISON","Rés princ type maison en 2015 (princ)","Nombre de résidences principales de type maison","0","1732"
"P15_NBPI_RPMAISON","Pièces rés princ type maison en 2015 (princ)","Nombre de pièces des résidences principales de type maison","0","8877"
"P15_RPAPPART","Rés princ type appartement en 2015 (princ)","Nombre de résidences principales de type appartement","0","2727"
"P15_NBPI_RPAPPART","Pièces rés princ type appartement en 2015 (princ)","Nombre de pièces des résidences principales de type appartement","0","5998"
"P15_RP_M30M2","Rés princ de moins de 30 m2 en 2015 (princ)","Nombre de résidences principales de moins de 30 m2","0","1007"
"P15_RP_3040M2","Rés princ de 30 à moins de 40 m2 en 2015 (princ)","Nombre de résidences principales de 30 à moins de 40 m2","0","571"
"P15_RP_4060M2","Rés princ de 40 à moins de 60 m2 en 2015 (princ)","Nombre de résidences principales de 40 à moins de 60 m2","0","868"
"P15_RP_6080M2","Rés princ de 60 à moins de 80 m2 en 2015 (princ)","Nombre de résidences principales de 60 à moins de 80 m2","0","853"
"P15_RP_80100M2","Rés princ de 80 à moins de 100 m2 en 2015 (princ)","Nombre de résidences principales de 80 à moins de 100 m2","0","689"
"P15_RP_100120M2","Rés princ de 100 à moins de 120 m2 en 2015 (princ)","Nombre de résidences principales de 100 à moins de 120 m2","0","424"
"P15_RP_120M2P","Rés princ de 120 m2 ou plus en 2015 (princ)","Nombre de résidences principales de 120 m2 ou plus","0","609"
