"CNTR_ID","superficie"
"AE","70947843215.50000000000"
"AD","466257041.00000000000"
"AF","641781469599.00000000000"
"AG","452390032.50000000000"
"AO","1245378575620.00000000000"
"AQ","12537748290600.00000000000"
"AR","2780106311300.00000000000"
"AI","80033637.50000000000"
"AL","28791007291.50000000000"
"AM","29477036520.50000000000"
"AS","199230931.50000000000"
"AT","83947820651.00000000000"
"AU","7687779736750.00000000000"
"BA","51212125731.50000000000"
"BB","431802418.00000000000"
"AW","180631609.50000000000"
"AZ","86656168090.50000000000"
"BD","139833512669.00000000000"
"BG","110988746866.00000000000"
"BH","673090944.00000000000"
"BJ","115243504141.00000000000"
"BL","18922388.00000000000"
"BI","26863571468.00000000000"
"BM","63300134.00000000000"
"BN","5901637903.00000000000"
"BF","273269170621.00000000000"
"BE","30664192101.50000000000"
"BO","1084411575250.00000000000"
"BQ","311936177.50000000000"
"BR","8484232931970.00000000000"
"BS","11797712538.00000000000"
"BY","207408388756.00000000000"
"BZ","22186670862.00000000000"
"CA","9663535442680.00000000000"
"BV","44237500.00000000000"
"BT","37676443874.50000000000"
"BW","578447308615.00000000000"
"CG","340601827445.00000000000"
"CM","465350391029.00000000000"
"CN","9381511714700.00000000000"
"CO","1137860508930.00000000000"
"CL","777410811090.00000000000"
"CD","2329105137320.00000000000"
"CH","41287314647.00000000000"
"CF","619591918929.00000000000"
"CI","321781563105.00000000000"
"CK","233786224.50000000000"
"CC","11542680.50000000000"
"ET","1129018710590.00000000000"
"FI","337616910090.00000000000"
"FM","717346551.00000000000"
"FO","1390328677.00000000000"
"FR","638480637886.00000000000"
"FJ","18330572535.50000000000"
"FK","12120645821.50000000000"
"ER","120739570869.00000000000"
"ES","505980301310.00000000000"
"EE","45335429741.50000000000"
"EG","979970525997.00000000000"
"EH","268586661291.00000000000"
"EL","132070672151.00000000000"
"CP","8552215.00000000000"
"CR","51231546850.50000000000"
"CU","110823281763.00000000000"
"CW","437138640.00000000000"
"CX","134022582.00000000000"
"CY","9249104389.00000000000"
"CV","4067697946.00000000000"
"CZ","78869518648.50000000000"
"DE","357737300777.00000000000"
"DZ","2308505823280.00000000000"
"EC","256218689751.00000000000"
"DK","43174805634.00000000000"
"DM","748672882.00000000000"
"DO","48094636450.00000000000"
"DJ","21657140617.00000000000"
"HK","1084751609.50000000000"
"HM","410754453.00000000000"
"HN","112750242901.00000000000"
"HR","56599640038.50000000000"
"HT","27024424375.00000000000"
"GN","243051946059.00000000000"
"GS","3870805712.50000000000"
"HU","93012982068.50000000000"
"ID","1886857908880.00000000000"
"IE","69956735289.50000000000"
"GT","109225421630.00000000000"
"GW","30909454757.00000000000"
"GY","211449022453.00000000000"
"GL","2166691483820.00000000000"
"GU","541523308.00000000000"
"GM","11174865352.50000000000"
"GQ","27007205812.00000000000"
"GA","264054159092.00000000000"
"GD","317742929.00000000000"
"GE","69673510337.50000000000"
"GG","81761661.50000000000"
"GH","238843888898.00000000000"
"GI","5631669.50000000000"
"JP","373768214813.00000000000"
"KE","581949970005.00000000000"
"KG","199191347130.00000000000"
"KH","181421277412.00000000000"
"KI","982285791.50000000000"
"KM","1654703881.50000000000"
"KN","263242997.00000000000"
"KZ","2706666408350.00000000000"
"KP","122482786917.00000000000"
"KR","99202519099.50000000000"
"KW","17386881714.00000000000"
"KY","266963912.50000000000"
"LA","230390675191.00000000000"
"LB","10136470995.50000000000"
"LC","603962299.00000000000"
"LI","159611163.00000000000"
"IS","102700864059.00000000000"
"IT","300620288402.00000000000"
"JE","120018231.00000000000"
"JM","10959872928.50000000000"
"JO","89173366338.50000000000"
"IL","20726714643.50000000000"
"IM","574210371.00000000000"
"IQ","436113492846.00000000000"
"IR","1622348025520.00000000000"
"IN","2961166974940.00000000000"
"IO","44023190.00000000000"
"NP","147439985450.00000000000"
"NR","21506304.00000000000"
"NU","263175667.00000000000"
"NG","908982249410.00000000000"
"NC","18555484426.00000000000"
"NI","129019755339.00000000000"
"MZ","787320433421.00000000000"
"NE","1182677801200.00000000000"
"NF","38813586.50000000000"
"NL","37373999632.50000000000"
"NO","323024432847.00000000000"
"NA","824843283597.00000000000"
"LY","1619154487530.00000000000"
"MH","200384847.00000000000"
"MO","16126318.50000000000"
"MP","476315977.00000000000"
"MN","1564457415510.00000000000"
"MS","102694539.50000000000"
"MT","316399062.50000000000"
"MR","1038621796990.00000000000"
"MU","2021272432.50000000000"
"MV","145908072.50000000000"
"MW","118717602669.00000000000"
"MX","1958790761140.00000000000"
"MY","329795283964.00000000000"
"LK","66163821831.50000000000"
"MK","25436118389.50000000000"
"MA","413969037701.00000000000"
"MC","2676824.50000000000"
"MD","33856815236.50000000000"
"LR","96103212334.00000000000"
"LS","30453793357.50000000000"
"LT","64901207714.00000000000"
"ME","13878811639.00000000000"
"MG","588822931300.00000000000"
"ML","1251521227720.00000000000"
"MM","667131463350.00000000000"
"LU","2595062135.00000000000"
"LV","64596241697.50000000000"
"PM","233344353.50000000000"
"RS","88408369391.00000000000"
"RU","16941653106700.00000000000"
"PL","311942120341.00000000000"
"PN","48860476.50000000000"
"PR","8932149015.00000000000"
"PY","399389615477.00000000000"
"PS","6220246393.50000000000"
"QA","11544459555.00000000000"
"PT","91969513503.50000000000"
"RO","238364065958.00000000000"
"PW","442142198.50000000000"
"NZ","270409322831.00000000000"
"OM","308384929301.00000000000"
"PA","74994822035.50000000000"
"PE","1291432712890.00000000000"
"PF","3901135434.50000000000"
"PG","464119384639.00000000000"
"PH","296132163481.00000000000"
"PK","788462270731.00000000000"
"SY","187984250463.00000000000"
"TM","472288668636.00000000000"
"TC","526565040.00000000000"
"TT","5143973630.00000000000"
"TV","41834935.00000000000"
"TD","1265800009800.00000000000"
"TZ","940166399417.00000000000"
"UA","601078443158.00000000000"
"UG","241043484182.00000000000"
"UK","244619546349.00000000000"
"TF","7734238229.50000000000"
"SO","633138564581.00000000000"
"TG","56774674847.00000000000"
"TH","515414801057.00000000000"
"TK","10964941.00000000000"
"TN","155127309966.00000000000"
"SR","144817644379.00000000000"
"TJ","142010457014.00000000000"
"TO","689893163.00000000000"
"TR","780290787646.00000000000"
"TL","14900354233.50000000000"
"SS","629799641516.00000000000"
"ST","985279230.50000000000"
"SX","34007566.00000000000"
"SV","20863393257.50000000000"
"SZ","17290649760.00000000000"
"SA","1925675473140.00000000000"
"SB","28273089935.50000000000"
"SC","494672681.00000000000"
"SD","1846533748970.00000000000"
"SE","449563561939.00000000000"
"SG","598063762.00000000000"
"SH","399170215.00000000000"
"SI","20273572338.00000000000"
"SL","72276278991.50000000000"
"SM","60355292.00000000000"
"SJ","63416996124.00000000000"
"SK","49027625222.50000000000"
"SN","196247223852.00000000000"
"RW","25383771447.50000000000"
"US","9534658866720.00000000000"
"VU","12234624491.00000000000"
"WF","141527651.00000000000"
"WS","2836211607.00000000000"
"XA","5641701.50000000000"
"UY","178141840442.00000000000"
"VE","912132416847.00000000000"
"VN","327602044242.00000000000"
"VG","154954843.00000000000"
"VI","343071366.50000000000"
"UZ","439412874434.00000000000"
"VA","402405.50000000000"
"VC","420132111.50000000000"
"UM","351922891.50000000000"
"YE","453661615768.00000000000"
"ZM","751240048538.00000000000"
"XB","788781.00000000000"
"XC","30667017242.50000000000"
"XE","3525343811.50000000000"
"XD","67964188105.00000000000"
"XL","4733970.50000000000"
"XM","43571418.50000000000"
"XN","4703111.00000000000"
"ZW","390652113054.00000000000"
"XF","17543717318.50000000000"
"XG","3158721348.50000000000"
"XH","186029997410.00000000000"
"ZA","1220272296030.00000000000"
"XI","4995845554.00000000000"
"XO","34962981.50000000000"
"XU","9962618357.50000000000"
"XV","1996351964.50000000000"
