"code","nom","visa_free","visa_arrival","visa_eTA"
"AF","Afghanistan","DM_HT_FM_VC","CV_KH_BO_BD_KM_DJ_GW_MO_MG_MV_MR_MZ_PW_RW_WS_SC_SO_TL_TG_TV_UG","CI"
"AL","Albania","AG_AT_BB_BY_BE_BA_BR_BG_CL_HR_CY_CZ_DK_DM_DO_EC_EE_FI_FR_GM_GE_DE_GR_HT_HK_HU_IS_ID_IL_IT_RK_LV_LI_LT_LU_MO_MK_MY_MT_FM_MD_MC_ME_NL_NO_PS_PL_PT_RO_SM_RS_SG_SK_SI_KR_ES_VC_SE_CH_TT_TR_UA_VA_AD","AM_BD_BJ_BO_KH_CV_KM_DJ_EG_GW_IR_JM_KE_KG_LA_MG_MW_MV_MR_MU_MZ_NP_PW_RW_WS_SC_SO_TZ_TL_TG_TV_UG_ZM_ZW","CI_IN_LK"
"DZ","Algeria","BJ_DM_EC_GN_HT_HK_ID_MY_ML_MR_FM_MA_PS_SN_VC_TN","BO_KH_CV_KM_DJ_GH_GW_JO_KE_LB_MO_MG_MV_MU_MZ_NP_NI_PW_RW_WS_SC_SO_TJ_TZ_TL_TG_TV_UG_YE_ZW_IR","CI_LK"
"AD","Andorra","AL_AG_AR_AM_AT_BS_BE_BZ_BO_BA_BR_BG_CL_CO_CR_HR_CY_CZ_DK_DO_EC_SV_EE_FI_FR_GM_GE_DE_GR_GT_HT_HN_HK_HU_IS_ID_IE_IL_IT_JP_RK_LV_LI_LT_LU_MO_MK_MY_MT_MX_MD_MC_ME_MA_NL_NZ_NI_NO_PA_PY_PE_PH_PL_PT_QA_RO_SM_SN_RS_SK_SI_ZA_KR_ES_LC_SZ_SE_CH_TW_TN_TR_UA_UY_VU_VA_VE_UK_BY_FM_PS_VC_ST_SG_DM","BD_KH_CV_KM_DJ_EG_GW_IR_JM_JO_KE_KW_KG_LA_LB_MG_MW_MV_MH_MR_MU_MZ_NP_OM_PW_PG_WS_SC_SB_TJ_TZ_TH_TL_TG_TV_UG_AE_ZM_BJ_RW_ZW_SO_BH","AU_CA_LK_US_CI_IN"
"AO","Angola","BJ_BW_CV_DM_EC_HT_ID_MU_FM_NA_PA_PH_ST_ZA_VC_TN_UG_ZW_SG","BD_BO_KH_KM_DJ_GH_GW_KE_LA_MO_MG_MV_MR_MZ_NP_NI_PW_RW_WS_SC_SO_TZ_TL_TG_TR_TV_ZM_IR","CI_IN_LK"
"AG","Antigua and Barbuda","AL_AT_BS_BB_BY_BE_BZ_BA_BW_BR_BG_CL_CO_CR_HR_CU_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GM_GE_DE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IT_JM_KI_RK_LV_LS_LI_LT_LU_MK_MW_MY_MT_MU_FM_MC_ME_NL_NI_NO_PS_PA_PE_PH_PL_PT_RO_SM_SK_SI_ZA_KR_ES_KN_LC_VC_SR_SZ_SE_CH_TZ_TT_TN_UG_UK_VU_VA_VE_ZM_ZW_AD_SG","AM_BD_BJ_BO_KH_CV_KM_DJ_EG_GW_IR_KE_LA_LB_MO_MG_MV_MR_MZ_NP_PW_RW_WS_SC_SB_SO_TL_TG_TR_TV_UA_JO","CI_IN_LK"
"AR","Argentina","AL_AG_AM_AT_BS_BB_BY_BE_BZ_BO_BA_BW_BR_BG_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GE_DE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KZ_RK_LV_LI_LT_LU_MK_MY_MT_MU_MX_FM_MC_MN_ME_MA_NL_NZ_NI_NO_PS_PA_PY_PE_PH_PL_PT_QA_RO_RU_SM_SN_RS_SK_SI_ZA_KR_ES_KN_LC_VC_SR_SZ_SE_CH_TH_TT_TN_TR_UA_AE_UK_UY_VU_VA_VE_AD_SG","BD_BJ_BF_KH_CV_KM_DJ_EG_ET_GA_GW_IR_KE_KG_LA_LB_MO_MG_MW_MV_MH_MR_MZ_NP_OM_PW_PG_RW_WS_SC_SB_SO_TJ_TZ_TL_TG_TV_UG_ZM_ZW_JO_BH","CI_IN_LK"
"AM","Armenia","AG_AL_AR_BS_BB_BY_BR_DM_EC_GE_HT_ID_IR_KZ_KG_MO_MY_FM_MD_NA_PS_PA_RU_VC_TJ_UA_UY_UZ","BD_BJ_BO_KH_CV_KM_DJ_GW_JM_JO_LA_LB_MG_MW_MV_MR_MU_MZ_NP_PW_RW_WS_SC_SO_TZ_TL_TG_TR_TV_UG_ZW","CI_IN_LK"
"AU","Australia","BG_BW_BA_BO_BZ_BE_BY_BB_BS_AT_AM_AG_AL_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GM_GE_DE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KZ_KI_RK_KG_LV_LS_LI_AD_LT_LU_MO_MK_MY_MT_MU_MX_FM_MD_MC_ME_MA_NA_NL_NZ_NI_NO_PS_PA_PE_PH_PL_PT_QA_RO_SM_SN_RS_SG_SK_AR_SI_ZA_KR_ES_KN_LC_VC_SZ_SE_CH_TW_TH_TN_UK_UY_VU_VA_VE","CV_KH_BF_BN_BJ_BD_BH_KM_DJ_EG_ET_GA_GW_IR_JO_KE_KW_LA_LB_MG_MW_MV_MH_MR_MZ_NP_OM_PW_PG_PY_RW_WS_SC_SB_SO_TJ_TZ_TL_TG_TO_TT_TR_TV_UG_UA_AE_ZM_ZW","CA_CI_IN_LK_US"
"AT","Austria","AL_AD_AG_AR_AM_BS_ST_BB_BE_BZ_BO_BA_BW_BR_BN_BG_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GM_GE_DE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KI_RK_KG_LV_LS_LI_LT_LU_MO_MK_MY_MT_MH_MU_MX_MD_MC_ME_MA_NA_NL_NZ_NI_NO_PW_PA_PY_PE_PH_PL_PT_QA_RO_WS_SM_SN_RS_SG_SK_SI_SB_ZA_KR_ES_KN_LC_VC_SZ_SE_CH_TW_TH_TL_TO_TT_TN_TV_UA_AE_UY_VU_VA_VE_UK_BY_KZ_FM_PS","BD_BF_KH_CV_KM_DJ_EG_ET_GW_IR_JO_KE_KW_LA_LB_MG_MW_MV_MR_MZ_NP_OM_PG_SC_SR_TJ_TZ_TG_TR_UG_ZM_ZW_BJ_GA_RW_SO_BH","AU_CA_LK_US_CI_IN"
"AZ","Azerbaijan","VU_UZ_UA_TR_TJ_BY_VC_BB_BS_AM_AG_AL_RU_QA_BA_CO_DM_EC_GE_HT_ID_IR_KZ_KG_MK_MY_FM_MD_ME_NA_PS","ZW_UG_TV_TG_TL_BD_SO_SC_WS_RW_BJ_BO_KH_CV_KM_DJ_GW_JM_JO_LA_LB_MO_MG_MW_MV_MH_MR_MU_MZ_NP_NI_PW","LK_CI_IN"
"BS","Bahamas","AL_AG_AT_BB_BE_BZ_BA_BW_BR_BG_CL_CN_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GM_GE_DE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KE_KI_RK_LV_LS_LI_LT_LU_MK_MW_MY_MT_MU_MX_FM_MD_MC_ME_NL_NI_NO_PS_PA_PE_PH_PL_PT_RO_SM_SN_RS_SK_SI_ZA_KR_ES_KN_LC_VC_SR_SZ_SE_CH_TZ_TT_UG_UK_US_UY_VU_VA_ZM_ZW_AD_SG","AM_BD_BJ_BO_KH_CV_KM_DJ_EG_GW_IR_LA_LB_MO_MG_MV_MR_MZ_NP_PW_RW_WS_SC_SB_SO_TL_TG_TO_TR_TV_UA_AE_JO","CA_CI_IN_LK"
"BH","Bahrain","BW_BA_BY_BS_DM_DO_EC_EG_SV_GE_GT_HT_HN_HK_ID_JO_RK_KW_KG_LB_MY_MU_FM_MA_NZ_NI_OM_PS_PH_QA_SA_SN_RS_SG_KR_KN_VC_TH_TN_AE_VU","CV_KH_BN_BO_BJ_BD_AZ_AM_KM_DJ_GA_GW_IR_KE_LA_MO_MG_MW_MV_MR_MZ_NP_PW_RW_WS_SC_SO_TJ_TZ_TL_TG_TV_UG_UA_YE_ZW","CI_LK"
