Country;Fees;Validity (years);ePassport
United Kingdom; $90;10;Yes
Argentina;$35;10;Yes
Australia;$212;10;Yes
Austria;$80;10;Yes
Belgium;$100;7;Yes
Brazil;$82;10;Yes
Bulgaria;$22;5;Yes
Canada;$128;10;Yes
China;$29;10;Yes
China Hong Kong SAR;$32;10;Yes
Croatia;$55;10;Yes
Cuba;$100($375 if in USA);6;No
Cyprus;$60;10;Yes
Czech Republic;???;10;Yes
Denmark;$90;10;Yes
Estonia;???;10;Yes
Finland;$50;5;Yes
France;$90;10;Yes
Germany;$60;10;Yes
Greece;$100;5;Yes
Hungary;$50;10;Yes
Iceland;$70;10;Yes
India;$23;10;No
Indonesia;$15;5;Yes
Iran;$30;5;Yes
Ireland;$80;10;Yes
Israel;$75;10;Yes
Italy;$135;10;Yes
Japan;$115;10;Yes
Latvia;$29;5;Yes
Lithuania;???;10;Yes
Luxembourg;$60;5;Yes
Malaysia;$47;5;Yes
Malta;$70;10;Yes
Mexico;$155;10;Yes
Netherlands;$150;10;Yes
New Zealand;$150;10;Yes
Norway;$50;10;Yes
Poland;$35;10;Yes
Portugal;$60;5;Yes
Republic of Korea;???;10;Yes
Romania;$65;5;Yes
Russian Federation;$42;10;Yes
Singapore;$59;5;Yes
Slovakia;$35;10;Yes
Slovenia;$35;10;Yes
South Africa;$14;10;Yes
Spain;$25;10;Yes
Sweden;$40;5;Yes
Switzerland;$140;10;Yes
Thailand;$29;5;Yes
Trinidad &amp; Tobago;$20;10;No
Tunesia;$20;5;No
Turkey;$268;5;Yes
USA;$110;10;Yes

src;https://www.passport-collector.com/passport-fees-around-world-2017/
