"alpha","num"
"AF","004"
"ZA","710"
"AX","248"
"AL","008"
"DZ","012"
"DE","276"
"AD","020"
"AO","024"
"AI","660"
"AQ","010"
"AG","028"
"SA","682"
"AR","032"
"AM","051"
"AW","533"
"AU","036"
"AT","040"
"AZ","031"
"BS","044"
"BH","048"
"BD","050"
"BB","052"
"BY","112"
"BE","056"
"BZ","084"
"BJ","204"
"BM","060"
"BT","064"
"BO","068"
"BQ","535"
"BA","070"
"BW","072"
"BV","074"
"BR","076"
"BN","096"
"BG","100"
"BF","854"
"BI","108"
"KY","136"
"KH","116"
"CM","120"
"CA","124"
"CV","132"
"CF","140"
"CL","152"
"CN","156"
"CX","162"
"CY","196"
"CC","166"
"CO","170"
"KM","174"
"CG","178"
"CD","180"
"CK","184"
"KR","410"
"KP","408"
"CR","188"
"CI","384"
"HR","191"
"CU","192"
"CW","531"
"DK","208"
"DJ","262"
"DO","214"
"DM","212"
"EG","818"
"","0"
"","0"
"SV","222"
"AE","784"
"EC","218"
"ER","232"
"ES","724"
"EE","233"
"US","840"
"ET","231"
"FK","238"
"FO","234"
"FJ","242"
"FI","246"
"FR","250"
"GA","266"
"GM","270"
"GE","268"
"GS","239"
"GH","288"
"GI","292"
"EL","300"
"GD","308"
"GL","304"
"GP","312"
"GU","316"
"GT","320"
"GG","831"
"GN","324"
"GW","624"
"GQ","226"
"GY","328"
"GF","254"
"HT","332"
"HM","334"
"HN","340"
"HK","344"
"HU","348"
"IM","833"
"UM","581"
"VG","092"
"VI","850"
"IN","356"
"ID","360"
"IR","364"
"IQ","368"
"IE","372"
"IS","352"
"IL","376"
"IT","380"
"JM","388"
"JP","392"
"JE","832"
"JO","400"
"KZ","398"
"KE","404"
"KG","417"
"KI","296"
"KW","414"
"LA","418"
"LS","426"
"LV","428"
"LB","422"
"LR","430"
"LY","434"
"LI","438"
"LT","440"
"LU","442"
"MO","446"
"MK","807"
"MG","450"
"MY","458"
"MW","454"
"MV","462"
"ML","466"
"MT","470"
"MP","580"
"MA","504"
"MH","584"
"MQ","474"
"MU","480"
"MR","478"
"YT","175"
"MX","484"
"FM","583"
"MD","498"
"MC","492"
"MN","496"
"ME","499"
"MS","500"
"MZ","508"
"MM","104"
"NA","516"
"NR","520"
"NP","524"
"NI","558"
"NE","562"
"NG","566"
"NU","570"
"NF","574"
"NO","578"
"NC","540"
"NZ","554"
"IO","086"
"OM","512"
"UG","800"
"UZ","860"
"PK","586"
"PW","585"
"PS","275"
"PA","591"
"PG","598"
"PY","600"
"NL","528"
"PE","604"
"PH","608"
"PN","612"
"PL","616"
"PF","258"
"PR","630"
"PT","620"
"QA","634"
"RE","638"
"RO","642"
"GB","826"
"RU","643"
"RW","646"
"EH","732"
"BL","652"
"KN","659"
"SM","674"
"MF","663"
"SX","534"
"PM","666"
"VA","336"
"VC","670"
"SH","654"
"LC","662"
"SB","090"
"WS","882"
"AS","016"
"ST","678"
"SN","686"
"RS","688"
"SC","690"
"SL","694"
"SG","702"
"SK","703"
"SI","705"
"SO","706"
"SD","729"
"SS","728"
"LK","144"
"SE","752"
"CH","756"
"SR","740"
"SJ","744"
"SZ","748"
"SY","760"
"TJ","762"
"TW","158"
"TZ","834"
"TD","148"
"CZ","203"
"TF","260"
"TH","764"
"TL","626"
"TG","768"
"TK","772"
"TO","776"
"TT","780"
"TN","788"
"TM","795"
"TC","796"
"TR","792"
"TV","798"
"UA","804"
"UY","858"
"VU","548"
"VE","862"
"VN","704"
"WF","876"
"YE","887"
"ZM","894"
"ZW","716"
"XK","153"
