"fill","cx","cy","type","cxx","cyy","cxxx","cyyy","cxxxx","cyyyy","id_x","id_y"
"#A9ABB2","0","0","circle","0","0","0","0","1","1","1","1"
"#A9ABB2","0","7.8","circle","0","7,8","0","1","1","2","1","2"
"#A8A9B0","0","15.6","circle","0","15,6","0","2","1","3","1","3"
"#A8A9B0","0","23.4","circle","0","23,4","0","3","1","4","1","4"
"#A8A9B0","0","31.3","circle","0","31,3","0","4,012820513","1","5,012820513","1","5"
"#A8A9B0","0","39.1","circle","0","39,1","0","5,012820513","1","6,012820513","1","6"
"#A8A9B0","0","46.9","circle","0","46,9","0","6,012820513","1","7,012820513","1","7"
"#A8A9B0","0","54.7","circle","0","54,7","0","7,012820513","1","8,012820513","1","8"
"#A8A9B0","0","62.5","circle","0","62,5","0","8,012820513","1","9,012820513","1","9"
"#A8A9B0","0","70.3","circle","0","70,3","0","9,012820513","1","10,01282051","1","10"
"#A8A9B0","0","78.1","circle","0","78,1","0","10,01282051","1","11,01282051","1","11"
"#A8A9B0","0","85.9","circle","0","85,9","0","11,01282051","1","12,01282051","1","12"
"#A8A9B0","0","93.8","circle","0","93,8","0","12,02564103","1","13,02564103","1","13"
"#A8A9B0","0","101.6","circle","0","101,6","0","13,02564103","1","14,02564103","1","14"
"#A8A9B0","0","109.4","circle","0","109,4","0","14,02564103","1","15,02564103","1","15"
"#A8A9B0","0","117.2","circle","0","117,2","0","15,02564103","1","16,02564103","1","16"
"#A8A9B0","0","125","circle","0","125","0","16,02564103","1","17,02564103","1","17"
"#A8A9B0","0","132.8","circle","0","132,8","0","17,02564103","1","18,02564103","1","18"
"#A8A9B0","0","140.6","circle","0","140,6","0","18,02564103","1","19,02564103","1","19"
"#A8A9B0","0","148.4","circle","0","148,4","0","19,02564103","1","20,02564103","1","20"
"#A8A9B0","0","156.3","circle","0","156,3","0","20,03846154","1","21,03846154","1","21"
"#A8A9B0","0","164.1","circle","0","164,1","0","21,03846154","1","22,03846154","1","22"
"#A8A9B0","0","171.9","circle","0","171,9","0","22,03846154","1","23,03846154","1","23"
"#A5A6AD","0","179.7","circle","0","179,7","0","23,03846154","1","24,03846154","1","24"
"#A5A6AD","0","187.5","circle","0","187,5","0","24,03846154","1","25,03846154","1","25"
"#A5A6AD","0","195.3","circle","0","195,3","0","25,03846154","1","26,03846154","1","26"
"#A2A1A8","0","203.1","circle","0","203,1","0","26,03846154","1","27,03846154","1","27"
"#A2A1A8","0","210.9","circle","0","210,9","0","27,03846154","1","28,03846154","1","28"
"#A2A1A8","0","218.8","circle","0","218,8","0","28,05128205","1","29,05128205","1","29"
"#A2A1A8","0","226.6","circle","0","226,6","0","29,05128205","1","30,05128205","1","30"
"#A2A1A8","0","234.4","circle","0","234,4","0","30,05128205","1","31,05128205","1","31"
"#A2A1A8","0","242.2","circle","0","242,2","0","31,05128205","1","32,05128205","1","32"
"#A19EA2","0","250","circle","0","250","0","32,05128205","1","33,05128205","1","33"
"#A19EA2","0","257.8","circle","0","257,8","0","33,05128205","1","34,05128205","1","34"
"#A19EA2","0","265.6","circle","0","265,6","0","34,05128205","1","35,05128205","1","35"
"#9C9A9C","0","273.4","circle","0","273,4","0","35,05128205","1","36,05128205","1","36"
"#999699","0","281.2","circle","0","281,2","0","36,05128205","1","37,05128205","1","37"
"#999699","0","289.1","circle","0","289,1","0","37,06410256","1","38,06410256","1","38"
"#999699","0","296.9","circle","0","296,9","0","38,06410256","1","39,06410256","1","39"
"#999699","0","304.7","circle","0","304,7","0","39,06410256","1","40,06410256","1","40"
"#969395","0","312.5","circle","0","312,5","0","40,06410256","1","41,06410256","1","41"
"#969395","0","320.3","circle","0","320,3","0","41,06410256","1","42,06410256","1","42"
"#939193","0","328.1","circle","0","328,1","0","42,06410256","1","43,06410256","1","43"
"#939193","0","335.9","circle","0","335,9","0","43,06410256","1","44,06410256","1","44"
"#939193","0","343.7","circle","0","343,7","0","44,06410256","1","45,06410256","1","45"
"#928E8F","0","351.6","circle","0","351,6","0","45,07692308","1","46,07692308","1","46"
"#939193","0","359.4","circle","0","359,4","0","46,07692308","1","47,07692308","1","47"
"#928E8F","0","367.2","circle","0","367,2","0","47,07692308","1","48,07692308","1","48"
"#928E8F","0","375","circle","0","375","0","48,07692308","1","49,07692308","1","49"
"#8D888A","0","382.8","circle","0","382,8","0","49,07692308","1","50,07692308","1","50"
"#8D888A","0","390.6","circle","0","390,6","0","50,07692308","1","51,07692308","1","51"
"#8D888A","0","398.4","circle","0","398,4","0","51,07692308","1","52,07692308","1","52"
"#8D888A","0","406.2","circle","0","406,2","0","52,07692308","1","53,07692308","1","53"
"#8D888A","0","414.1","circle","0","414,1","0","53,08974359","1","54,08974359","1","54"
"#8D888A","0","421.9","circle","0","421,9","0","54,08974359","1","55,08974359","1","55"
"#8D888A","0","429.7","circle","0","429,7","0","55,08974359","1","56,08974359","1","56"
"#8D888A","0","437.5","circle","0","437,5","0","56,08974359","1","57,08974359","1","57"
"#8D888A","0","445.3","circle","0","445,3","0","57,08974359","1","58,08974359","1","58"
"#8A878B","0","453.1","circle","0","453,1","0","58,08974359","1","59,08974359","1","59"
"#8A878B","0","460.9","circle","0","460,9","0","59,08974359","1","60,08974359","1","60"
"#8A878B","0","468.7","circle","0","468,7","0","60,08974359","1","61,08974359","1","61"
"#8D898D","0","476.6","circle","0","476,6","0","61,1025641","1","62,1025641","1","62"
"#8D898D","0","484.4","circle","0","484,4","0","62,1025641","1","63,1025641","1","63"
"#8D898D","0","492.2","circle","0","492,2","0","63,1025641","1","64,1025641","1","64"
"#8D898D","0","500","circle","0","500","0","64,1025641","1","65,1025641","1","65"
"#BAB4BD","0","507.8","circle","0","507,8","0","65,1025641","1","66,1025641","1","66"
"#C5C0C4","0","515.6","path","0","515,6","0","66,1025641","1","67,1025641","1","67"
"#DFD9E3","0","515.6","path","0","515,6","0","66,1025641","1","67,1025641","1","67"
"#E9E4ED","0","523.4","circle","0","523,4","0","67,1025641","1","68,1025641","1","68"
"#F2EEF8","0","531.2","circle","0","531,2","0","68,1025641","1","69,1025641","1","69"
"#F2EEF8","0","539.1","circle","0","539,1","0","69,11538462","1","70,11538462","1","70"
"#F7F4FD","0","546.9","circle","0","546,9","0","70,11538462","1","71,11538462","1","71"
"#F2EEF8","0","554.7","circle","0","554,7","0","71,11538462","1","72,11538462","1","72"
