"alpha","num","name"
"AO","024","ANGOLA"
"BF","854","BURKINA FASO"
"BI","108","BURUNDI"
"BJ","204","BêNIN"
"BW","072","BOTSWANA"
"CD","180","CONGO, LA RêPUBLIQUE DêMOCRATIQUE DU"
"CF","140","CENTRAFRICAINE, RêPUBLIQUE"
"CG","178","CONGO"
"CI","384","C‚TE D?IVOIRE"
"CM","120","CAMEROUN"
"CV","132","CABO VERDE"
"DJ","262","DJIBOUTI"
"DZ","012","ALGêRIE"
"EG","818","êGYPTE"
"EH","732","SAHARA OCCIDENTAL"
"GH","288","GIBRALTAR"
"GM","270","GUINêE"
"GN","324","GUADELOUPE"
"GQ","226","GR‘CE"
"GW","624","GUINêE-BISSAU"
"KE","404","KENYA"
"KM","174","COMORES"
"LR","430","LIBêRIA"
"LS","426","LESOTHO"
"LY","434","LIBYE"
"MA","504","MAROC"
"MG","450","MADAGASCAR"
"ML","466","MALI"
"MR","478","MAURITANIE"
"MU","480","MAURICE"
"MW","454","MALAWI"
"MZ","508","MOZAMBIQUE"
"NA","516","NAMIBIE"
"NE","562","NIGER"
"NG","566","NIGêRIA"
"RE","638","RêUNION"
"RW","646","RWANDA"
"SC","690","SEYCHELLES"
"SD","729","SOUDAN"
"SH","654","SAINTE-HêL‘NE, ASCENSION ET TRISTAN DA CUNHA"
"SL","694","SIERRA LEONE"
"SN","686","SêNêGAL"
"SO","706","SOMALIE"
"SS","728","SOUDAN DU SUD"
"ST","678","SAO TOMê-ET-PRINCIPE"
"SZ","748","SWAZILAND"
"TG","768","TOGO"
"TN","788","TUNISIE"
"TZ","834","TANZANIE, RêPUBLIQUE UNIE DE"
"UG","800","OUGANDA"
"ZA","710","AFRIQUE DU SUD"
"ZM","894","ZAMBIE"
"ZW","716","ZIMBABWE"
"TD","148","TCHAD"
