Code;num;Name;abstention;inscrits;nuls;blancs;exprimes;dupont;lepen;macron;Name;;Pays;"Nombre 
d'inscrits";"Nombre 
de votants";"% 
Participation";Nuls;Blancs;Total exprimÇs;"% 
Suff. ExprimÇs";"Total voix 
Emmanuel 
MACRON";"%
Emmanuel 
MACRON";"Total voix 
Marine LE PEN";"%
Marine
 LE PEN"
EG;818;êEGYPTE;2108;3409;8;5;1288;11;71;451;êEGYPTE;;êGYPTE;3414;1494;43,76%;21;64;1409;41,27%;1274;90,42%;135;9,58%
ZA;710;AFRIQUE DU SUD;2952;5189;14;22;2201;27;246;818;AFRIQUE DU SUD;;AFRIQUE DU SUD;5196;2250;43,30%;14;100;2136;41,11%;1793;83,94%;343;16,06%
DZ;12;ALEGêRIE;18218;22486;26;58;4184;31;90;2171;ALEGêRIE;;ALGêRIE;22500;5589;24,84%;25;122;5442;24,19%;5259;96,64%;183;3,36%
AO;24;ANGOLA;494;915;1;5;415;8;23;156;ANGOLA;;ANGOLA;915;444;48,52%;18;6;420;45,90%;361;85,95%;59;14,05%
BJ;204;BENIN;1507;2451;1;9;934;13;51;436;BENIN;;BENIN;2449;1022;41,73%;7;33;982;40,10%;884;90,02%;98;9,98%
BW;72;BOTSWANA;0;0;0;0;0;0;0;0;BOTSWANA;;;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
BF;854;BURKINA FASO;1049;2058;1;18;990;10;56;335;BURKINA FASO;;BURKINA FASO;2059;987;47,94%;12;62;913;44,34%;829;90,80%;84;9,20%
BI;108;BURUNDI;49;166;0;1;116;2;6;36;BURUNDI;;BURUNDI;166;125;75,30%;0;14;111;66,87%;98;88,29%;13;11,71%
CV;132;CABO VERDE;0;0;0;0;0;0;0;0;CABO VERDE;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
CM;120;CAMEROUN;1937;3616;4;8;1667;26;126;568;CAMEROUN;;CAMEROUN;3624;1701;46,94%;16;82;1603;44,23%;1354;84,47%;249;15,53%
CF;140;CENTRAFRICAINE, RêPUBLIQUE;232;447;2;4;209;1;25;94;CENTRAFRICAINE, RêPUBLIQUE;;CENTRAFRICAINE (RêPUBLIQUE);447;215;48,10%;4;5;206;46,09%;169;82,04%;37;17,96%
KM;174;COMORES;824;1226;6;8;388;6;9;145;COMORES;;COMORES;1230;456;37,07%;6;13;437;35,53%;408;93,36%;29;6,64%
CG;178;CONGO;1929;3686;9;13;1735;27;163;591;CONGO;;CONGO;3698;1873;50,65%;40;77;1756;47,49%;1453;82,74%;303;17,26%
CD;180;CONGO, LA RêPUBLIQUE DêMOCRATIQUE DU;790;1436;2;11;633;9;53;218;CONGO, LA RêPUBLIQUE DêMOCRATIQUE DU;;CONGO (RêPUBLIQUE DêMOCRATIQUE);1438;614;42,70%;8;31;575;39,99%;474;82,43%;101;17,57%
CI;384;COTE D_IVOIRE;6966;11294;14;21;4293;42;328;1166;COTE D_IVOIRE;;C‚TE D'IVOIRE;11301;4227;37,40%;32;184;4011;35,49%;3354;83,62%;657;16,38%
DJ;262;DJIBOUTI;1090;2534;8;21;1415;84;385;286;DJIBOUTI;;DJIBOUTI;2535;1530;60,36%;18;101;1411;55,66%;801;56,77%;610;43,23%
ER;232;ERYTHREE;0;0;0;0;0;0;0;0;ERYTHREE;;0;0;0;0,00%;0;0;0;0,00%;0;0,00%;0;0,00%
ET;231;ETHIOPIE;263;605;1;6;335;4;9;161;ETHIOPIE;;êTHIOPIE;607;354;58,32%;7;13;334;55,02%;313;93,71%;21;6,29%
GA;266;GABON;2896;6041;11;30;3104;62;426;769;GABON;;GABON;6052;3106;51,32%;38;201;2867;47,37%;2134;74,43%;733;25,57%
