Code;num;Name;abstention;inscrits;nuls;blancs;exprimes;dupont;lepen;macron;hamon;arthaud;poutou;cheminade;lassalle;melenchon;asselineau;fillon
AO;24;ANGOLA;494;915;1;5;415;8;23;156;24;0;3;2;3;27;8;161
BF;854;BURKINA FASO;1049;2058;1;18;990;10;56;335;86;4;10;0;7;283;8;191
BI;108;BURUNDI;49;166;0;1;116;2;6;36;17;1;1;0;0;18;1;34
BJ;204;BENIN;1507;2451;1;9;934;13;51;436;72;7;3;2;6;161;8;175
BW;72;BOTSWANA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CD;180;CONGO, LA RêPUBLIQUE DêMOCRATIQUE DU;790;1436;2;11;633;9;53;218;38;2;3;2;4;97;3;204
CF;140;CENTRAFRICAINE, RêPUBLIQUE;232;447;2;4;209;1;25;94;9;1;0;0;2;22;2;53
CG;178;CONGO;1929;3686;9;13;1735;27;163;591;80;5;3;1;8;224;11;622
CI;384;COTE D_IVOIRE;6966;11294;14;21;4293;42;328;1166;195;7;15;9;27;713;35;1756
CM;120;CAMEROUN;1937;3616;4;8;1667;26;126;568;104;3;4;4;7;257;12;556
CV;132;CABO VERDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DJ;262;DJIBOUTI;1090;2534;8;21;1415;84;385;286;79;7;7;4;11;230;16;306
DZ;12;ALEGêRIE;18218;22486;26;58;4184;31;90;2171;233;17;28;15;8;1072;53;466
EG;818;êEGYPTE;2108;3409;8;5;1288;11;71;451;112;3;9;3;3;240;12;373
EH;732;SAHARA OCCIDENTAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GA;266;GABON;;6041;11;30;3104;62;426;769;120;2;8;7;16;550;35;1109
GH;288;GIBRALTAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GM;270;GUINêEE;1151;1766;0;2;613;3;46;231;50;1;3;3;3;102;1;170
GW;624;GUINêEE-BISSAU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KE;404;KENYA;390;911;0;4;517;2;24;238;65;0;6;2;1;80;3;96
KM;174;COMORES;824;1226;6;8;388;6;9;145;34;1;8;2;1;113;3;66
LR;430;LIBEêRIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LS;426;LESOTHO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LY;434;LIBYE;99;106;0;0;7;0;0;0;3;0;0;0;0;1;0;3
MA;504;MAROC;15630;33930;49;132;18119;218;750;5723;1027;39;105;23;92;4672;235;5235
MG;450;MADAGASCAR;7045;12292;29;60;5158;115;500;1784;280;32;55;25;43;804;81;1439
ML;466;MALI;2169;3154;4;9;972;8;51;338;132;3;6;2;4;229;7;192
MR;478;MAURITANIE;496;894;1;4;393;8;32;135;39;1;3;1;1;90;2;81
MU;480;MAURICE;7914;7976;30;32;0;92;452;1086;143;15;21;6;24;380;52;1 834
MW;454;MALAWI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MZ;508;MOZAMBIQUE;158;361;0;1;202;0;6;66;33;1;0;0;5;68;0;23
NA;516;NAMIBIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NE;562;NIGER;493;877;0;1;383;8;28;118;41;2;3;1;1;84;3;94
NG;566;NIGêERIA;371;862;0;6;485;2;40;180;20;1;0;0;3;55;3;181
RE;638;RêEUNION;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RW;646;RWANDA;93;223;2;2;126;0;4;41;20;2;0;1;1;32;4;21
SC;690;SEYCHELLES;207;372;2;2;161;4;25;42;22;0;1;0;2;18;3;44
SD;729;SOUDAN;49;123;1;0;73;1;6;28;4;1;0;0;0;22;2;9
SH;654;SAINTE-HêL‚NE, ASCENSION ET TRISTAN DA CUNHA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SL;694;SIERRA LEONE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SN;686;SêENêGAL;8308;13779;20;39;5412;86;398;1616;475;15;33;12;28;1234;57;1458
SO;706;SOMALIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SS;728;SOUDAN DU SUD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ST;678;SAO TOMê-ET-PRINCIPE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SZ;748;SWAZILAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TD;148;TCHAD;393;788;0;4;391;5;36;123;41;1;1;2;0;66;2;114
TG;768;TOGO;1309;2084;2;9;764;10;50;344;70;1;3;2;5;115;7;157
TN;788;TUNISIE;9215;16808;49;27;7517;76;249;2766;427;13;28;12;20;2414;70;1442
TZ;834;TANZANIE, RêPUBLIQUE UNIE DE;196;384;0;1;187;3;10;78;15;0;1;1;1;38;1;39
UG;800;OUGANDA;51;194;0;2;141;2;8;60;9;0;0;0;0;33;0;29
ZA;710;AFRIQUE DU SUD;2952;5189;14;22;2201;27;246;818;139;2;3;0;9;259;14;684
ZM;894;ZAMBIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZW;716;ZIMBABWE;83;150;0;2;65;3;2;34;4;0;0;0;0;11;2;9
SOMA;-99;SOMALILAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ER;232;ERYTHREE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ET;231;ETHIOPIE;;605;1;6;335;4;9;161;31;0;4;0;4;66;0;56
