id;coordx;coordy;zoom;coeff;centrex;centrey;echelle1_m_px;centrex_zoom;centrey_zoom;echelle2_m_px;viewbox
A_104_109;738058.818579;6998282.89769;True;0.256262818613;258.27278;311.67321;7.08907116819;297.8778;420.76484;0.0883691587691;202.37298421 45.48194658 190.75639158 741.1872776
A_105_214;767818.067558;6999406.55757;True;1.36197935784;342.28344;514.97488;98.5622936643;298.83792;421.00486;53.2783368586;32.15712744 227.8767866 524.0420768 386.504696799
A_117_120;711563.816023;7001392.82015;True;0.512951154972;356.9253;252.86695;7.6761754253;305.07872;410.0837;0.354527377672;106.836415406 45.48194658 381.829529188 741.1872776
A_123_214;750248.856069;7004301.8602;True;1.36197935784;164.18084;465.28958;98.5622936643;363.88618;414.88421;0.555786576112;32.15712744 227.8767866 524.0420768 386.504696799
A_134_135;760239.856069;7009134.8602;False;1.33427590261;;;-4.58357735898;;;;32.15712744 223.864304795 524.0420768 394.529660411
A_146_149;721938.995593;7013342.8602;False;1.55074159525;;;-13.1407478351;;;;32.15712744 251.400206479 524.0420768 339.457857042
A_156_161;780814.856069;7016039.8602;True;1.55714244508;405.17142;285.87046;23.8540197623;298.35786;416.56439;1.81411578256;32.15712744 252.097900763 524.0420768 338.062468474
A_166_168;746039.205063;7017271.20919;True;1.2011478647;315.64006;335.55576;5.22598086299;300.75817;415.12424;3.78895824703;32.15712744 202.000652063 524.0420768 438.256965874
A_176_200;708249.856069;7022135.75467;False;0.519537972153;;;-43.0646206732;;;;104.384874671 45.48194658 386.732610658 741.1872776
A_181_185;773098.492064;7020784.22421;True;2.35111718598;138.01752;380.44054;19.9018187469;298.59789;421.00486;8.05750752422;32.15712744 309.179925941 524.0420768 223.898418117
A_185_186;774924.856069;7021168.8602;True;1.76922057566;148.33883;353.91771;15.8635331927;294.27735;413.44406;0.674253510367;32.15712744 272.359833424 524.0420768 297.538603152
A_189_192;755334.856069;7022689.12421;False;0.901457624232;;;-4.32703665596;;;;32.15712744 129.151229106 524.0420768 583.955811787
A_189_214;755872.856069;7021231.8602;True;1.36197935784;221.54812;293.67129;98.5622936643;298.35786;420.76484;27.6425725559;32.15712744 227.8767866 524.0420768 386.504696799
A_189_216;754480.106034;7022987.61023;True;0.669383547776;373.96746;697.03428;6.70757715568;298.35786;421.00486;10.1320898313;48.6140034714 45.48194658 498.274353057 741.1872776
A_198_210;696039.813884;7024295.81802;True;1.44286523333;399.65072;378.28031;15.0843309825;298.59789;420.76484;13.1636154186;32.15712744 238.710359292 524.0420768 364.837551415
A_221_227;716089.126268;7028518.59;False;0.724872220967;;;-9.89386669543;;;;32.15712744 58.022780857 524.0420768 726.212708286
A_228_394;604202.856069;7028116.56203;True;0.725756370796;214.10717;706.15525;51.0197693284;298.35786;420.52481;11.9139791264;32.15712744 58.4651337372 524.0420768 725.328002526
A_236_266;746650.613206;7033565.10306;True;0.484753402934;412.37233;581.58197;7.86116409378;298.35786;421.00486;14.4474087307;117.331307834 45.48194658 360.839744331 741.1872776
A_238_248;705633.856069;7033620.8602;False;1.20590660676;;;-10.290581101;;;;32.15712744 202.865375684 524.0420768 436.527518632
A_239_273;659090.770158;7036067.8602;False;1.13333532727;;;-35.2293078152;;;;32.15712744 188.889211791 524.0420768 464.479846419
A_248_257;706553.589286;7034559.59342;True;1.22884983064;340.84325;485.09169;5.17720622654;298.11783;401.20275;0.916949126853;32.15712744 206.940466204 524.0420768 428.377337592
A_251_260;696689.856069;7035620.8602;False;2.45934144128;;;-16.4602180597;;;;32.15712744 314.106293455 524.0420768 214.04568309
A_267_289;700287.542662;7037962.8602;False;0.947356257485;;;-14.7596908262;;;;32.15712744 143.297319043 524.0420768 555.663631913
A_291_297;612470.258448;7041504.8602;True;2.29649522326;78.24993;430.12584;7.80243327109;305.31875;416.56439;2.30273942705;32.15712744 306.517222591 524.0420768 229.223824817
A_307_319;611733.622777;7042916.62691;True;1.33224625522;282.03579;503.45365;8.91686182553;379.24813;392.20179;0.973266632539;32.15712744 223.563776236 524.0420768 395.130717528
A_310_313;676043.856069;7044421.8602;False;2.10144612297;;;-8.12125839507;;;;32.15712744 295.879333685 524.0420768 250.499602629
A_311_321;731085.865721;7044911.86985;True;1.60578599806;520.14601;367.95921;10.2982441648;298.35786;422.20499;8.26013435513;32.15712744 257.218308966 524.0420768 327.821652068
A_322_329;665303.095153;7045503.77284;True;2.8311289373;192.02437;426.76548;15.7071823143;298.35786;421.00486;11.0339894094;32.15712744 328.160670757 524.0420768 185.936928486
A_329_342;667763.856069;7046816.97166;True;0.95293614021;228.509;418.96465;9.83184194878;298.83792;422.20499;4.81845817721;32.15712744 144.924153083 524.0420768 552.409963834
A_333_340;670885.856069;7048169.8602;False;0.717150406155;;;-5.56298750945;;;;32.15712744 54.1130849272 524.0420768 734.032100146
A_338_345;678572.768412;7048525.77254;True;1.11323668455;131.05663;324.99463;8.00390153341;301.23823;405.52321;1.17981299805;32.15712744 184.696296388 524.0420768 472.865677225
A_392_432;604629.856069;7060281.65399;True;0.994648668325;414.29258;618.90595;18.2971606508;298.83792;419.4447;3.33318093403;32.15712744 156.507346667 524.0420768 529.243576665
A_407_419;660357.856069;7061363.8602;True;2.33411531795;135.37718;493.73261;32.3095316342;288.51661;421.00486;31.7093501816;32.15712744 308.36447965 524.0420768 225.5293107
A_419_437;664442.856069;7064566.78742;True;1.25958148741;126.73608;423.88517;22.006767359;298.35786;419.92475;19.521346116;32.15712744 212.166307262 524.0420768 417.925655476
A_424_428;643916.856069;7067621.83186;False;1.97443704968;;;-3.40873541151;;;;32.15712744 287.822423896 524.0420768 266.613422209
A_430_433;646612.856069;7068134.31579;True;3.45604468079;180.98297;368.19924;21.2112983193;257.55268;421.00486;-0.0;32.15712744 344.971060182 524.0420768 152.316149636
A_440_448;682440.853639;7070069.85777;True;1.7453379903;78.97002;458.80889;5.81377677957;298.35786;421.00486;1.55019081877;32.15712744 270.324127123 524.0420768 301.610015754
A_463_488;647455.856069;7073863.40213;True;0.745861254026;540.78863;731.71797;7.59223083497;301.95832;421.24489;1.04531333747;32.15712744 68.2408357965 524.0420768 705.776598407
A_471_492;659423.856069;7076766.8602;False;1.24717094596;;;-33.041847269;;;;32.15712744 210.086927653 524.0420768 422.084414694
A_47_86;776841.856069;6992188.8602;True;2.1266126389;244.59104;498.2931;16.1021321836;277.95527;455.68856;7.00627196239;32.15712744 297.361550551 524.0420768 247.535168898
A_488_509;645344.856069;7079033.8602;True;0.478166480135;239.07034;408.40352;14.2710063773;296.19759;422.20499;6.07229292734;119.782887879 45.48194658 355.936584242 741.1872776
A_504_514;649664.279744;7081990.28387;True;0.462687409599;262.11326;409.60365;9.48058542617;298.35786;421.72494;21.0290756738;125.544027276 45.48194658 344.414305448 741.1872776
A_506_511;643738.856069;7082129.8602;True;1.89200625108;510.06473;420.52481;19.5688882529;272.91463;405.76324;0.0562553832373;32.15712744 282.014526248 524.0420768 278.229217503
A_556_569;649012.177347;7099696.57467;True;0.688160285072;254.67232;343.35659;8.42653743126;298.35786;421.00486;6.81731574883;41.6255088635 45.48194658 512.251342273 741.1872776
A_561_569;652372.724028;7101011.99224;False;2.40322567057;;;-15.4357582786;;;;32.15712744 311.607290007 524.0420768 219.043689986
A_561_570;655083.856069;7101206.8602;False;1.3444930426;;;-65.1247232254;;;;32.15712744 225.363369737 524.0420768 391.531530526
A_76_82;731538.749193;6992518.96708;True;1.87802830983;196.34492;464.80953;13.9077094471;377.56791;444.28734;1.32044117571;32.15712744 280.979112768 524.0420768 280.300044464
A_81_104;738896.856069;6994875.9297;True;0.245212009457;368.92682;680.59253;5.807407933;298.35786;421.00486;1.33316446558;206.485973542 45.48194658 182.530412915 741.1872776
